an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
27-Aug-2026 17:31:24,230.28 KB,https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_27082026173118_AELIntimationChandenvalleInfraPark27082026.pdf,"Adani Enterprises Limited has informed the Exchange about Acquisition of Chandenvalle Infra Park Limited by AdaniConneX Private Limited, a joint venture of the Company",,,Acquisition,00:00:02,27082026173124,27-Aug-2026 17:31:26,230.28 KB,True,,,106759170,Trading,INE423A01024,Adani Enterprises Limited,2026-08-27 17:31:24,ADANIENT
26-Aug-2026 18:21:50,0 Bytes,-,"Members of the Exchange are hereby informed that the trading in Non-Convertible Debentures of Adani Enterprises Limited shall be suspended w.e.f. August 28, 2026 (ISIN No. INE423A07351 & INE423A07369) on account of Maturity.",,,Suspension of Trading,00:00:01,26082026182150,26-Aug-2026 18:21:51,0 Bytes,True,,,106757763,Trading,INE423A01024,Adani Enterprises Limited,2026-08-26 18:21:50,ADANIENT
24-Aug-2026 12:28:36,136.81 KB,https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_24082026122830_AELIntimation24082026.pdf,Adani Enterprises Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,24082026122836,24-Aug-2026 12:28:37,136.81 KB,True,,,106754026,Trading,INE423A01024,Adani Enterprises Limited,2026-08-24 12:28:36,ADANIENT
21-Aug-2026 18:29:13,143.69 KB,https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_21082026182903_AELIntimation21082026.pdf,"Adani Enterprises Limited has informed the Exchange that Mr. V. Subramanian shall be completing his second term as an Independent Director of the Company and consequently, he shall cease to be an Independent Director with effect from end of business hours on 21st August, 2026.",,,Change in Management,00:00:00,21082026182913,21-Aug-2026 18:29:13,143.69 KB,True,,,106752810,Trading,INE423A01024,Adani Enterprises Limited,2026-08-21 18:29:13,ADANIENT
20-Aug-2026 11:54:44,137.10 KB,https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_20082026115437_AELIntimation20082026.pdf,Adani Enterprises Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,20082026115444,20-Aug-2026 11:54:45,137.10 KB,True,,,106750640,Trading,INE423A01024,Adani Enterprises Limited,2026-08-20 11:54:44,ADANIENT
13-Aug-2026 18:13:30,166.56 KB,https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_13082026181323_AELIntimationAcqPath13082026.pdf,"Adani Enterprises Limited has informed the Exchange about Acquisition of Path Highway LLP by Adani Road Transport Limited, a wholly owned subsidiary of the Company and Adani Road GRICL Limited, a wholly owned subsidiary of ARTL and step down subsidiary of the Company,",,,Acquisition,00:00:02,13082026181330,13-Aug-2026 18:13:32,166.56 KB,True,,,106742393,Trading,INE423A01024,Adani Enterprises Limited,2026-08-13 18:13:30,ADANIENT
08-Aug-2026 16:48:29,183.33 KB,https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_08082026164822_AELIntimationAACLGlobal.pdf,"Adani Enterprises Limited has informed the Exchange about Adani Airport City Limited, a step down wholly owned subsidiary of the Company has incorporated wholly owned subsidiary namely AACL Global IFSC Limited",,,Acquisition,00:00:01,08082026164829,08-Aug-2026 16:48:30,183.33 KB,True,,,106733261,Trading,INE423A01024,Adani Enterprises Limited,2026-08-08 16:48:29,ADANIENT
06-Aug-2026 15:47:54,136.67 KB,https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_06082026154749_AELIntimation06082026.pdf,Adani Enterprises Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,06082026154754,06-Aug-2026 15:47:55,136.67 KB,True,,,106728673,Trading,INE423A01024,Adani Enterprises Limited,2026-08-06 15:47:54,ADANIENT
05-Aug-2026 19:24:41,197.39 KB,https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_05082026192412_AELearningcallTranscript29042026_1.pdf,Adani Enterprises Limited has informed the Exchange about Transcript,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,05082026192441,05-Aug-2026 19:24:42,197.39 KB,True,,,106727290,Trading,INE423A01024,Adani Enterprises Limited,2026-08-05 19:24:41,ADANIENT
05-Aug-2026 16:32:04,182.86 KB,https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_05082026163157_AELIntimationAAHLGlobal.pdf,"Adani Enterprises Limited has informed the Exchange about incorporation of wholly owned subsidiary company by Adani Airport Holdings Limited, wholly owned subsidiary of the company.",,,Acquisition,00:00:01,05082026163204,05-Aug-2026 16:32:05,182.86 KB,True,,,106726531,Trading,INE423A01024,Adani Enterprises Limited,2026-08-05 16:32:04,ADANIENT
04-Aug-2026 23:01:25,85.59 KB,https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_04082026230107_AELIntimationofacquisitioncompletion04082026signed.pdf,Adani Enterprises Limited has informed the Exchange about Acquisition,,,Acquisition,00:00:01,04082026230125,04-Aug-2026 23:01:26,85.59 KB,True,,,106725394,Trading,INE423A01024,Adani Enterprises Limited,2026-08-04 23:01:25,ADANIENT
29-Jul-2026 22:26:32,197.26 KB,https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_29072026222626_SubmissionofAudioRecordingof_InvCall29072026.pdf,Adani Enterprises Limited has informed the Exchange about Link of Recording,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,29072026222632,29-Jul-2026 22:26:33,197.26 KB,True,,,106716317,Trading,INE423A01024,Adani Enterprises Limited,2026-07-29 22:26:32,ADANIENT
29-Jul-2026 15:27:29,241.01 KB,https://nsearchives.nseindia.com/corporate/ADANIENT_29072026152718_June26AELUtilisationStatementRightsIssue__2_.pdf,Adani Enterprises Limited has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32,,,Statement of deviation(s) or variation(s) under Reg. 32,00:00:01,29072026152729,29-Jul-2026 15:27:30,241.01 KB,True,,,106715292,Trading,INE423A01024,Adani Enterprises Limited,2026-07-29 15:27:29,ADANIENT
