an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
21-Aug-2026 13:29:08,137.81 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_21082026132854_SEINTIMATION.pdf,Adani Ports and Special Economic Zone Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,21082026132908,21-Aug-2026 13:29:09,137.81 KB,True,,,106752297,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-08-21 13:29:08,ADANIPORTS
17-Aug-2026 18:58:33,137.51 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_17082026185820_SEINTIMATION.pdf,Adani Ports and Special Economic Zone Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:00,17082026185833,17-Aug-2026 18:58:33,137.51 KB,True,,,106747360,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-08-17 18:58:33,ADANIPORTS
11-Aug-2026 21:09:12,435.62 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_11082026210901_NEWSEIntimation11082026.pdf,"Intimation under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 - Incorporation of step-down subsidiary.",,,General Updates,00:00:02,11082026210912,11-Aug-2026 21:09:14,435.62 KB,True,,,106737864,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-08-11 21:09:12,ADANIPORTS
11-Aug-2026 20:39:55,434.83 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_11082026203942_SEIntimation11082026.pdf,"Intimation under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015  - Incorporation of step-down subsidiary",,,General Updates,00:00:01,11082026203955,11-Aug-2026 20:39:56,434.83 KB,True,,,106737803,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-08-11 20:39:55,ADANIPORTS
10-Aug-2026 19:43:02,153.23 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_10082026194247_SEINTIMATION.pdf,Adani Ports and Special Economic Zone Limited has informed the Exchange regarding 'Update on ESG Rating'.,,,Updates,00:00:01,10082026194302,10-Aug-2026 19:43:03,153.23 KB,True,,,106735434,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-08-10 19:43:02,ADANIPORTS
06-Aug-2026 18:24:27,137.82 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_06082026182407_SEINTIMATION.pdf,Adani Ports and Special Economic Zone Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,06082026182427,06-Aug-2026 18:24:28,137.82 KB,True,,,106729328,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-08-06 18:24:27,ADANIPORTS
03-Aug-2026 08:35:15,406.08 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_03082026083506_SEINTIMATION.pdf,Adani Ports and Special Economic Zone Limited has informed the Exchange regarding Monthly Business Updates for the month of July 2026,,,Monthly Business Updates,00:00:01,03082026083515,03-Aug-2026 08:35:16,406.08 KB,True,,,106721309,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-08-03 08:35:15,ADANIPORTS
03-Aug-2026 08:33:52,386.68 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_03082026083342_transcript.pdf,Adani Ports and Special Economic Zone Limited has informed the Exchange about Transcript,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,03082026083352,03-Aug-2026 08:33:53,386.68 KB,True,,,106721308,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-08-03 08:33:52,ADANIPORTS
01-Aug-2026 15:04:30,151.34 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_01082026150421_SEINTIMATION.pdf,Adani Ports and Special Economic Zone Limited has informed the Exchange about General Updates,,,General Updates,00:00:01,01082026150430,01-Aug-2026 15:04:31,151.34 KB,True,,,106720750,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-08-01 15:04:30,ADANIPORTS
29-Jul-2026 21:08:56,136.06 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_29072026210827_SEINTIMATION.pdf,Adani Ports and Special Economic Zone Limited has informed the Exchange about Link of Recording,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,29072026210856,29-Jul-2026 21:08:57,136.06 KB,True,,,106716220,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-07-29 21:08:56,ADANIPORTS
29-Jul-2026 13:51:00,136.34 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_29072026135041_ClarificationtoSE.pdf,Adani Ports and Special Economic Zone Limited has informed the Exchange about Rumour Verification - Regulation 30(11),,,Rumour Verification - Regulation 30(11),00:00:00,29072026135100,29-Jul-2026 13:51:00,136.34 KB,True,,,106715145,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-07-29 13:51:00,ADANIPORTS
29-Jul-2026 12:45:06,2.16 MB,https://nsearchives.nseindia.com/corporate/rkbhagia_29072026124451_IntimationofPRandIP.pdf,"Adani Ports and Special Economic Zone Limited has informed the Exchange regarding a press release dated July 29, 2026, titled ""Submission of Media Release and Investor Presentation on Unaudited Financial Results(Standalone and Consolidated) for the quarter ended June 30, 2026"".",,,Press Release,00:00:01,29072026124506,29-Jul-2026 12:45:07,2.16 MB,True,,,106715044,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-07-29 12:45:06,ADANIPORTS
29-Jul-2026 12:32:48,2.65 MB,https://nsearchives.nseindia.com/corporate/rkbhagia_29072026123138_OutcomeofBoardMeeting.pdf,"Adani Ports and Special Economic Zone Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",,,Outcome of Board Meeting,00:00:01,29072026123248,29-Jul-2026 12:32:49,2.65 MB,True,,,106714999,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-07-29 12:32:48,ADANIPORTS
24-Jul-2026 12:59:27,136.20 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_24072026125913_SEINTIMATIOn.pdf,Adani Ports and Special Economic Zone Limited has informed the Exchange regarding 'Inaugural Taskforce on Nature-related Financial Disclosures (TNFD) Report for FY2025-26.'.,,,Updates,00:00:01,24072026125927,24-Jul-2026 12:59:28,136.20 KB,True,,,106709467,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-07-24 12:59:27,ADANIPORTS
16-Jul-2026 17:19:19,138.23 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_16072026171903_SEINTIMATION.pdf,Adani Ports and Special Economic Zone Limited has informed the Exchange about Credit Rating,,,Credit Rating,00:00:01,16072026171919,16-Jul-2026 17:19:20,138.23 KB,True,,,106700313,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-07-16 17:19:19,ADANIPORTS
09-Jul-2026 21:51:40,474.33 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_09072026215129_SEIntimationNewspaper.pdf,Adani Ports and Special Economic Zone Limited has informed the Exchange regarding 'Newspaper publication - Second 100 Days Campaign-  Saksham Niveshak    for KYC and other related updation and shareholder engagement to prevent transfer of Unpaid / Unclaimed dividends to Investor Education and Protection Fund ( IEPF ).'.,,,Updates,00:00:01,09072026215140,09-Jul-2026 21:51:41,474.33 KB,True,,,106692702,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-07-09 21:51:40,ADANIPORTS
04-Jul-2026 15:50:13,234.57 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_04072026155005_SEIntimation.pdf,"Adani Ports and Special Economic Zone Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",,,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",00:00:01,04072026155013,04-Jul-2026 15:50:14,234.57 KB,True,,,106686732,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-07-04 15:50:13,ADANIPORTS
03-Jul-2026 20:00:33,138.33 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_03072026200021_SEINTIMATION.pdf,Adani Ports and Special Economic Zone Limited has informed the Exchange about Credit Rating,,,Credit Rating,00:00:01,03072026200033,03-Jul-2026 20:00:34,138.33 KB,True,,,106686298,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-07-03 20:00:33,ADANIPORTS
02-Jul-2026 08:23:57,157.02 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_02072026082334_SEINTIMATION.pdf,Adani Ports and Special Economic Zone Limited has informed the Exchange regarding Monthly Business Updates for the month of June 2026,,,Monthly Business Updates,00:00:00,02072026082357,02-Jul-2026 08:23:57,157.02 KB,True,,,106684021,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-07-02 08:23:57,ADANIPORTS
30-Jun-2026 12:08:49,137.02 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_30062026120838_UpdateonESGRating.pdf,Adani Ports and Special Economic Zone Limited has informed the Exchange about ESG Rating by CRISIL ESG Ratings & Analytics Limited,,,General Updates,00:00:01,30062026120849,30-Jun-2026 12:08:50,137.02 KB,True,,,106680887,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-06-30 12:08:49,ADANIPORTS
30-Jun-2026 11:31:46,135.19 KB,https://nsearchives.nseindia.com/corporate/rkbhagia_30062026113129_Closureof_tradingwindow.pdf,"Adani Ports and Special Economic Zone Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,Trading Window,00:00:02,30062026113146,30-Jun-2026 11:31:48,135.19 KB,True,,,106680794,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-06-30 11:31:46,ADANIPORTS
30-Jun-2026 08:02:32,1.77 MB,https://nsearchives.nseindia.com/corporate/rkbhagia_30062026080124_SEINTIMATION.pdf,"Adani Ports and Special Economic Zone Limited has informed the Exchange that, the Company has entered into Share Purchase and Subscription Agreement on June 29, 2026 with Mundi Limited ( Mundi ), pursuant to which Mundi will invest for 49% interest in Adani Vizhinjam Port Private Limited",,,Agreements,00:00:01,30062026080232,30-Jun-2026 08:02:33,1.77 MB,True,,,106680493,Shipping,INE742F01042,Adani Ports and Special Economic Zone Limited,2026-06-30 08:02:32,ADANIPORTS
