an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
25-Aug-2026 19:49:03,13.73 MB,https://nsearchives.nseindia.com/corporate/ASIANPAINT_25082026194829_SEIntimationIEPFNewspaperAdvertisementSigned.pdf,"Pursuant to Regulation 30 read with Para A Part A of Schedule III of the Listing Regulations, please find enclosed copies of notice given to shareholders regarding transfer of equity shares to the Investor Education Protection Fund (IEPF) Authority.",,,Copy of Newspaper Publication,00:00:01,25082026194903,25-Aug-2026 19:49:04,13.73 MB,True,,,106756366,Paints,INE021A01018,Asian Paints Limited,2026-08-25 19:49:03,ASIANPAINT
21-Aug-2026 22:08:18,239.22 KB,https://nsearchives.nseindia.com/corporate/ASIANPAINT_21082026220740_SE_Intimation_GTIPL_signed.pdf,"Asian Paints Limited has informed the Exchange regarding Trading Plan pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,Trading Plan under PIT,00:00:01,21082026220818,21-Aug-2026 22:08:19,239.22 KB,True,,,106753065,Paints,INE021A01018,Asian Paints Limited,2026-08-21 22:08:18,ASIANPAINT
12-Aug-2026 19:24:53,431.22 KB,https://nsearchives.nseindia.com/corporate/ASIANPAINT_12082026192153_Stock_Exchange_intimation_signed.pdf,"Asian Paints Limited has informed the Exchange regarding Trading Plan pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,Trading Plan under PIT,00:00:01,12082026192453,12-Aug-2026 19:24:54,431.22 KB,True,,,106740054,Paints,INE021A01018,Asian Paints Limited,2026-08-12 19:24:53,ASIANPAINT
11-Aug-2026 13:45:34,10.32 MB,https://nsearchives.nseindia.com/corporate/ASIANPAINT_11082026133506_SEIntimationNewspaperAdsigned.pdf,"Pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, please find enclosed copies of the advertisement published in newspapers (including e-editions wherever applicable) on 11th August 2026, inter alia, informing about the resolution proposed to be passed by Postal Ballot and details relating to e-Voting facility.",,,Copy of Newspaper Publication,00:00:01,11082026134534,11-Aug-2026 13:45:35,10.32 MB,True,,,106736435,Paints,INE021A01018,Asian Paints Limited,2026-08-11 13:45:34,ASIANPAINT
10-Aug-2026 20:02:01,1002.91 KB,https://nsearchives.nseindia.com/corporate/ASIANPAINT_10082026200145_SE_Intimation_-_Postal_ballot_notice_2026_signed.pdf,Please find enclosed the Postal Ballot Notice dated 29th July 2026 together with the Explanatory Statement being sent to the members of the Company seeking approval of shareholders for appointment of Ms. Shubhlakshmi Dani as Non- Executive Director of the Company.,,,Shareholders meeting,00:00:01,10082026200201,10-Aug-2026 20:02:02,1002.91 KB,True,,,106735495,Paints,INE021A01018,Asian Paints Limited,2026-08-10 20:02:01,ASIANPAINT
03-Aug-2026 14:42:01,4.48 MB,https://nsearchives.nseindia.com/corporate/ASIANPAINT_03082026144133_Regulation_30_Intimation_-_Transcript_for_Investor_Conference_Signed.pdf,"Please find enclosed the transcript of the Investor Conference held on Wednesday, 29th July 2026, with regard to the business and financial performance of the Company for the quarter ended 30th June 2026.",,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:00,03082026144201,03-Aug-2026 14:42:01,4.48 MB,True,,,106721853,Paints,INE021A01018,Asian Paints Limited,2026-08-03 14:42:01,ASIANPAINT
30-Jul-2026 19:04:57,1.07 MB,https://nsearchives.nseindia.com/corporate/ASIANPAINT_30072026190344_SEIntimation80thAGMMinutessigned.pdf,"Please find enclosed the minutes of the 80th Annual General Meeting of the Company held on Thursday, 9th July 2026.",,,Updates,00:00:01,30072026190457,30-Jul-2026 19:04:58,1.07 MB,True,,,106717865,Paints,INE021A01018,Asian Paints Limited,2026-07-30 19:04:57,ASIANPAINT
29-Jul-2026 20:15:22,223.40 KB,https://nsearchives.nseindia.com/corporate/ASIANPAINT_29072026201400_SEintimation_Audio_Recording_Q1FY26-27signed.pdf,"Pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( Listing Regulations ), this is to inform you that the audio recording of the Investor Conference held today i.e. Wednesday, 29th July 2026 on the business and financial performance of the Company for the quarter ended 30th June 2026, has been uploaded on the website of the Company.",,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,29072026201522,29-Jul-2026 20:15:23,223.40 KB,True,,,106716138,Paints,INE021A01018,Asian Paints Limited,2026-07-29 20:15:22,ASIANPAINT
29-Jul-2026 17:38:46,223.24 KB,https://nsearchives.nseindia.com/corporate/ASIANPAINT_29072026173834_ESG_Rating_SES_29072026_revisedfilingsigned.pdf,"This is in continuation to our letter bearing reference no. APL/SEC/57/2026-27/18 dated               27th July 2026, wherein it was informed that SES ESG Research Pvt. Ltd., a SEBI registered Category   II ESG Rating Provider ( SES ), had, independently assigned the Company an Environmental, Social and Governance ( ESG ) score of  76.8 . It was further informed that the Company had identified certain factual inaccuracies in the SES report and had accordingly requested SES to review the same.It is hereby informed that, pursuant to its review, SES has revised the ESG score assigned to the Company from  76.8  to  76.9 .",,,General Updates,00:00:01,29072026173846,29-Jul-2026 17:38:47,223.24 KB,True,,,106715630,Paints,INE021A01018,Asian Paints Limited,2026-07-29 17:38:46,ASIANPAINT
29-Jul-2026 16:57:26,4.22 MB,https://nsearchives.nseindia.com/corporate/ASIANPAINT_29072026165710_Intimation_Investor_Presentation_Q1FY26-27finsigned.pdf,Asian Paints Limited has informed the Exchange about Investor Presentation,,,Investor Presentation,00:00:01,29072026165726,29-Jul-2026 16:57:27,4.22 MB,True,,,106715507,Paints,INE021A01018,Asian Paints Limited,2026-07-29 16:57:26,ASIANPAINT
29-Jul-2026 14:06:25,5.55 MB,https://nsearchives.nseindia.com/corporate/ASIANPAINT_29072026140548_SEintimationJune26.pdf,"Asian Paints Limited has informed the Exchange regarding a press release dated July 29, 2026, titled ""PRESS RELEASE"".",,,Press Release,00:00:01,29072026140625,29-Jul-2026 14:06:26,5.55 MB,True,,,106715167,Paints,INE021A01018,Asian Paints Limited,2026-07-29 14:06:25,ASIANPAINT
29-Jul-2026 14:02:54,5.55 MB,https://nsearchives.nseindia.com/corporate/ASIANPAINT_29072026140039_SEintimationJune26.pdf,"The Board of Directors at their meeting held today, i.e., Wednesday, 29th July 2026, have, inter alia, approved the audited standalone and unaudited consolidated financial results of the Company for the quarter ended 30th June 2026.",,,Outcome of Board Meeting,00:00:01,29072026140254,29-Jul-2026 14:02:55,5.55 MB,True,,,106715163,Paints,INE021A01018,Asian Paints Limited,2026-07-29 14:02:54,ASIANPAINT
29-Jul-2026 10:20:21,322.77 KB,https://nsearchives.nseindia.com/corporate/ASIANPAINT_29072026102009_SE_Intimation_-_Appointment_of_NED-final_Signed.pdf,"This is to inform you that the Board of Directors of the Company at their meeting held today i.e. Wednesday, 29th July 2026, based on the recommendations of the Nomination and Remuneration Committee, have unanimously approved the appointment of Ms. Shubhlakshmi Dani DIN: 02942138) as an Additional and Non-Executive Director of the Company, with immediate effect.  Her appointment as a Non   Executive Director, liable to retire by rotation, shall be subject to the approval of the shareholders of the Company.",,,Appointment,00:00:01,29072026102021,29-Jul-2026 10:20:22,322.77 KB,True,,,106714783,Paints,INE021A01018,Asian Paints Limited,2026-07-29 10:20:21,ASIANPAINT
27-Jul-2026 18:56:23,223.06 KB,https://nsearchives.nseindia.com/corporate/ASIANPAINT_27072026185615_ESG_Rating_SES_27072026_signed.pdf,"Pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, this is to inform you that SES ESG Research Pvt. Ltd., a SEBI registered Category   II ESG Rating Provider ( SES ), has, independently assigned the Company an Environmental, Social and Governance ( ESG ) score of  76.8 . The assigned score reflects an improvement over the ESG score of  74.1  assigned in the previous assessment year.The ESG score was assigned by SES based on the information available in public domain and without any engagement by the Company for such scoring.The above ESG score can be accessed from the website of SES.The communication from SES on the above ESG score had been received by the Company post closure of working hours on Friday, 24th July 2026 at 8.22 p.m. IST. The Company has informed SES of certain factual inaccuracies identified in its report and has sought a review of the same. The Company is currently awaiting SES s response. Any revision to the score, if made by SES pursuant to its review, will be disclosed to the stock exchanges in due course.",,,General Updates,00:00:01,27072026185623,27-Jul-2026 18:56:24,223.06 KB,True,,,106712426,Paints,INE021A01018,Asian Paints Limited,2026-07-27 18:56:23,ASIANPAINT
