an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
26-Aug-2026 22:07:11,234.38 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_26082026220700_Advance_Intimation_-_1-2_Sep_GS_Conference_signed.pdf,Axis Bank Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,26082026220711,26-Aug-2026 22:07:12,234.38 KB,True,,,106758101,Banks,INE238A01026,Axis Bank Limited,2026-08-26 22:07:11,AXISBANK
26-Aug-2026 22:05:19,246.21 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_26082026220501_Schedule_of_Investor_Analyst_Meet_-_26082026_signed.pdf,Axis Bank Limited has informed the Exchange about Presentation,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,26082026220519,26-Aug-2026 22:05:20,246.21 KB,True,,,106758095,Banks,INE238A01026,Axis Bank Limited,2026-08-26 22:05:19,AXISBANK
25-Aug-2026 19:56:37,234.83 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_25082026195558_SE25082026.pdf,AXISBANK: Axis Bank Limited has informed the Exchange regarding Allotment of 177413 Shares.,,,ESOP/ESOS/ESPS,00:00:01,25082026195637,25-Aug-2026 19:56:38,234.83 KB,True,,,106756381,Banks,INE238A01026,Axis Bank Limited,2026-08-25 19:56:37,AXISBANK
25-Aug-2026 18:19:42,183.71 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_25082026181935_SEIntimation25082026Signed.pdf,Axis Bank Limited has informed the Exchange about General Updates,,,General Updates,00:00:01,25082026181942,25-Aug-2026 18:19:43,183.71 KB,True,,,106756105,Banks,INE238A01026,Axis Bank Limited,2026-08-25 18:19:42,AXISBANK
24-Aug-2026 22:09:54,240.70 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_24082026220946_SEIntimation-CallRedemptionSigned.pdf,Axis Bank Limited has informed the Exchange about General Updates,,,General Updates,00:00:02,24082026220954,24-Aug-2026 22:09:56,240.70 KB,True,,,106754892,Banks,INE238A01026,Axis Bank Limited,2026-08-24 22:09:54,AXISBANK
21-Aug-2026 22:06:50,234.53 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_21082026220638_FinalListingSigned.pdf,Axis Bank Limited has informed the Exchange about General Updates,,,General Updates,00:00:01,21082026220650,21-Aug-2026 22:06:51,234.53 KB,True,,,106753064,Banks,INE238A01026,Axis Bank Limited,2026-08-21 22:06:50,AXISBANK
21-Aug-2026 21:28:24,212.88 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_21082026212818_AllotmentSigned.pdf,Axis Bank Limited has informed the Exchange about General Updates,,,General Updates,00:00:01,21082026212824,21-Aug-2026 21:28:25,212.88 KB,True,,,106753048,Banks,INE238A01026,Axis Bank Limited,2026-08-21 21:28:24,AXISBANK
21-Aug-2026 19:26:04,171.29 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_21082026192556_SEPreAnalystSigned.pdf,Axis Bank Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:02,21082026192604,21-Aug-2026 19:26:06,171.29 KB,True,,,106752934,Banks,INE238A01026,Axis Bank Limited,2026-08-21 19:26:04,AXISBANK
18-Aug-2026 18:41:43,182.64 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_18082026184123_SE18082026.pdf,Axis Bank Limited has informed the Exchange regarding Allotment of 123174  Shares.,,,ESOP/ESOS/ESPS,00:00:00,18082026184143,18-Aug-2026 18:41:43,182.64 KB,True,,,106748703,Banks,INE238A01026,Axis Bank Limited,2026-08-18 18:41:43,AXISBANK
18-Aug-2026 18:24:14,200.38 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_18082026182239_ANALYSTSINSTITUTIONAL_INVESTORS_MEET.pdf,Axis Bank Limited has informed the Exchange about Presentation,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,18082026182414,18-Aug-2026 18:24:15,200.38 KB,True,,,106748654,Banks,INE238A01026,Axis Bank Limited,2026-08-18 18:24:14,AXISBANK
18-Aug-2026 16:52:14,1.08 MB,https://nsearchives.nseindia.com/corporate/AXISBANK1_18082026165004_SEIntimationCreditRatingbySandPGOLBALRATINGS.pdf,Axis Bank Limited has informed the Exchange about Credit Rating,,,Credit Rating,00:00:01,18082026165214,18-Aug-2026 16:52:15,1.08 MB,True,,,106748419,Banks,INE238A01026,Axis Bank Limited,2026-08-18 16:52:14,AXISBANK
18-Aug-2026 13:05:51,438.49 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_18082026130449_SEIntimation_CreditRating18082026.pdf,Axis Bank Limited has informed the Exchange about Credit Rating,,,Credit Rating,00:00:01,18082026130551,18-Aug-2026 13:05:52,438.49 KB,True,,,106748125,Banks,INE238A01026,Axis Bank Limited,2026-08-18 13:05:51,AXISBANK
17-Aug-2026 20:21:33,243.05 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_17082026201912_SEIntimationPricingSupplement17082026.pdf,Axis Bank Limited has informed the Exchange about General Updates,,,General Updates,00:00:00,17082026202133,17-Aug-2026 20:21:33,243.05 KB,True,,,106747475,Banks,INE238A01026,Axis Bank Limited,2026-08-17 20:21:33,AXISBANK
14-Aug-2026 16:40:37,208.06 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_14082026164029_SEIntimation_KS_GiridharvSigned.pdf,"Axis Bank Limited has informed the Exchange regarding Appointment of Mr K. S. Giridhar  as Non- Executive Nominee Director of the company w.e.f. August 14, 2026.",,,Appointment,00:00:02,14082026164037,14-Aug-2026 16:40:39,208.06 KB,True,,,106744510,Banks,INE238A01026,Axis Bank Limited,2026-08-14 16:40:37,AXISBANK
12-Aug-2026 20:45:40,174.10 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_12082026204530_AnalystPre12082026Signed.pdf,Axis Bank Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,12082026204540,12-Aug-2026 20:45:41,174.10 KB,True,,,106740315,Banks,INE238A01026,Axis Bank Limited,2026-08-12 20:45:40,AXISBANK
12-Aug-2026 15:09:24,234.75 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_12082026150913_FinalListingSigned.pdf,Axis Bank Limited has informed the Exchange about General Updates,,,General Updates,00:00:01,12082026150924,12-Aug-2026 15:09:25,234.75 KB,True,,,106738916,Banks,INE238A01026,Axis Bank Limited,2026-08-12 15:09:24,AXISBANK
12-Aug-2026 15:06:55,213.34 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_12082026150402_AllotmentFSigned.pdf,Axis Bank Limited has informed the Exchange about General Updates,,,General Updates,00:00:01,12082026150655,12-Aug-2026 15:06:56,213.34 KB,True,,,106738912,Banks,INE238A01026,Axis Bank Limited,2026-08-12 15:06:55,AXISBANK
12-Aug-2026 11:18:08,213.34 KB,https://nsearchives.nseindia.com/corporate/AXISBANK1_12082026111801_AllotmentFSigned.pdf,Axis Bank Limited has informed the Exchange about General Updates,,,General Updates,00:00:01,12082026111808,12-Aug-2026 11:18:09,213.34 KB,True,,,106738454,Banks,INE238A01026,Axis Bank Limited,2026-08-12 11:18:08,AXISBANK
