an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
27-Aug-2026 12:17:33,779.19 KB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_27082026121722_SE_BMAG_H1_Results_2026.pdf,"BAJAJ-AUTO: Bajaj Auto Limited has informed the Exchange about ad hoc announcement made by Bajaj Mobility AG (formerly PIERER Mobility AG), a step-down subsidiary of Bajaj Auto Limited titled Results of the First Half of 2026",,,General Updates,00:00:00,27082026121733,27-Aug-2026 12:17:33,779.19 KB,True,,,106758580,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-08-27 12:17:33,BAJAJ-AUTO
21-Aug-2026 17:26:44,330.19 KB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_21082026172634_BAL_Credit_Rating_21_August_2026.pdf,Bajaj Auto Limited has informed the Exchange about Credit Rating- New,,,Credit Rating- New,00:00:01,21082026172644,21-Aug-2026 17:26:45,330.19 KB,True,,,106752659,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-08-21 17:26:44,BAJAJ-AUTO
05-Aug-2026 15:08:50,180.46 KB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_05082026150440_Investor_Conference_1.pdf,Bajaj Auto Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,05082026150850,05-Aug-2026 15:08:51,180.46 KB,True,,,106726279,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-08-05 15:08:50,BAJAJ-AUTO
05-Aug-2026 15:08:50,180.41 KB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_05082026150829_Investor_Conference_4.pdf,Bajaj Auto Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:04,05082026150850,05-Aug-2026 15:08:54,180.41 KB,True,,,106726282,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-08-05 15:08:50,BAJAJ-AUTO
05-Aug-2026 15:08:50,180.68 KB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_05082026150730_Investor_Conference_3.pdf,Bajaj Auto Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:02,05082026150850,05-Aug-2026 15:08:52,180.68 KB,True,,,106726281,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-08-05 15:08:50,BAJAJ-AUTO
05-Aug-2026 15:08:50,180.50 KB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_05082026150630_Investor_Conference_2.pdf,Bajaj Auto Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:02,05082026150850,05-Aug-2026 15:08:52,180.50 KB,True,,,106726280,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-08-05 15:08:50,BAJAJ-AUTO
03-Aug-2026 09:00:37,212.11 KB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_03082026090019_Sales_Report_July2026.pdf,"Bajaj Auto Limited has informed the Exchange regarding a press release dated August 03, 2026, titled ""Sales for the month of July 2026"".",,,Press Release,00:00:01,03082026090037,03-Aug-2026 09:00:38,212.11 KB,True,,,106721313,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-08-03 09:00:37,BAJAJ-AUTO
28-Jul-2026 12:50:52,1.16 MB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_28072026125026_SEBIintimation.pdf,Bajaj Auto Limited has informed the Exchange about Copy of Newspaper Publication on Special Window for Transfer and Dematerialisation of Physical Securities,,,Copy of Newspaper Publication,00:00:01,28072026125052,28-Jul-2026 12:50:53,1.16 MB,True,,,106713357,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-07-28 12:50:52,BAJAJ-AUTO
27-Jul-2026 16:43:48,443.11 KB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_27072026164331_Transcript_of_Earning_Conference_Call_Q1_FY27.pdf,Bajaj Auto Limited has informed the Exchange about Transcript,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,27072026164348,27-Jul-2026 16:43:49,443.11 KB,True,,,106711969,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-07-27 16:43:48,BAJAJ-AUTO
24-Jul-2026 15:26:28,1.31 MB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_24072026152616_Extinguishment_completion_filing_SE.pdf,"Bajaj Auto Limited has informed the Exchange regarding completion of extinguishment of 46,94,000 shares & Closure of Buy Back with effect from July 24, 2026",,,Closure of Buy Back,00:00:01,24072026152628,24-Jul-2026 15:26:29,1.31 MB,True,,,106709710,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-07-24 15:26:28,BAJAJ-AUTO
24-Jul-2026 11:41:51,463.43 KB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_24072026114140_Reg_76_signed.pdf,Bajaj Auto Limited has informed the Exchange regarding 'Reconciliation of share capital audit report for the quarter ended 30 June 2026'.,,,Updates,00:00:01,24072026114151,24-Jul-2026 11:41:52,463.43 KB,True,,,106709307,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-07-24 11:41:51,BAJAJ-AUTO
22-Jul-2026 20:31:27,8.83 MB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_22072026203113_SE_Intimation_AGM_VR_Signed.pdf,"Bajaj Auto Limited has submitted the Exchange a copy Srutinizers report of  19th Annual General Meeting held on July 21, 2026. Further, the company has informed the Exchange regarding voting results.",,,Shareholders meeting,00:00:01,22072026203127,22-Jul-2026 20:31:28,8.83 MB,True,,,106707142,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-07-22 20:31:27,BAJAJ-AUTO
21-Jul-2026 20:34:04,179.58 KB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_21072026203347_SE_-_Q1_FY27_Recording.pdf,Bajaj Auto Limited has informed the Exchange about Link of Recording,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,21072026203404,21-Jul-2026 20:34:05,179.58 KB,True,,,106705680,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-07-21 20:34:04,BAJAJ-AUTO
21-Jul-2026 19:01:27,271.92 KB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_21072026190115_SE_Proceedings_AGM.pdf,"Bajaj Auto Limited has informed the Exchange regarding summary of proceedings of the 19th Annual General Meeting held on July 21, 2026",,,Shareholders meeting,00:00:01,21072026190127,21-Jul-2026 19:01:28,271.92 KB,True,,,106705514,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-07-21 19:01:27,BAJAJ-AUTO
21-Jul-2026 12:52:47,241.44 KB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_21072026125221_SE_ESOP.pdf,Bajaj Auto Limited has informed the Exchange about seventh grant of Stock Options pursuant to Bajaj Auto Employee Stock Option Scheme 2019,,,General Updates,00:00:00,21072026125247,21-Jul-2026 12:52:47,241.44 KB,True,,,106704751,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-07-21 12:52:47,BAJAJ-AUTO
21-Jul-2026 12:43:08,1.44 MB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_21072026124211_SE_FR.pdf,"Bajaj Auto Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",,,Outcome of Board Meeting,00:00:00,21072026124308,21-Jul-2026 12:43:08,1.44 MB,True,,,106704742,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-07-21 12:43:08,BAJAJ-AUTO
20-Jul-2026 18:11:07,252.63 KB,https://nsearchives.nseindia.com/corporate/lkwalimbe_bajajauto_co_in_27062025144213_NSE_clarification_Audit_Qualification_27_June_2025.pdf,"The Exchange had sought clarification from Bajaj Auto Limited for the quarter ended 31-Mar-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. On basis of above the Company was required to clarify the following:   -1. The company has not submitted the Statement of Impact of Audit Qualifications in case of modified opinion(s) The response of the Company is enclosed.",,,Reply to Clarification- Financial results,00:00:00,20072026181107,20-Jul-2026 18:11:07,252.63 KB,True,,,106703749,Automobiles - 2 And 3 Wheelers,INE917I01010,Bajaj Auto Limited,2026-07-20 18:11:07,BAJAJ-AUTO
