an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
28-Aug-2026 19:53:04,12.61 MB,https://nsearchives.nseindia.com/corporate/BEL_28082026195246_Lettersigned.pdf,"Bharat Electronics Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on August 28, 2026. Further, the company has informed the Exchange regarding voting results.",,,Shareholders meeting,00:00:01,28082026195304,28-Aug-2026 19:53:05,12.61 MB,True,,,106760814,Electronics - Industrial,INE263A01016,Bharat Electronics Limited,2026-08-28 19:53:04,BEL
28-Aug-2026 19:46:11,3.17 MB,https://nsearchives.nseindia.com/corporate/BEL_28082026194601_Lettersigned.pdf,"Bharat Electronics Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on August 28, 2026",,,Shareholders meeting,00:00:01,28082026194611,28-Aug-2026 19:46:12,3.17 MB,True,,,106760810,Electronics - Industrial,INE263A01016,Bharat Electronics Limited,2026-08-28 19:46:11,BEL
26-Aug-2026 15:43:08,1.16 MB,https://nsearchives.nseindia.com/corporate/BEL_26082026153621_Lettersigned.pdf,Bharat Electronics Limited has informed the Exchange about Bagging/Receiving of orders/contracts,,,Bagging/Receiving of orders/contracts,00:00:01,26082026154308,26-Aug-2026 15:43:09,1.16 MB,True,,,106757382,Electronics - Industrial,INE263A01016,Bharat Electronics Limited,2026-08-26 15:43:08,BEL
19-Aug-2026 18:33:42,12.97 MB,https://nsearchives.nseindia.com/corporate/BEL_19082026183127_Lettersigned.pdf,Newspaper Publication   Addendum to the Notice of the 72nd Annual General Meeting (AGM) of the Company scheduled to be held on 28 August 2026.,,,Copy of Newspaper Publication,00:00:01,19082026183342,19-Aug-2026 18:33:43,12.97 MB,True,,,106750005,Electronics - Industrial,INE263A01016,Bharat Electronics Limited,2026-08-19 18:33:42,BEL
18-Aug-2026 21:28:08,2.23 MB,https://nsearchives.nseindia.com/corporate/BEL_18082026212759_Lettersigned.pdf,Addendum to the Notice of the 72nd Annual General Meeting of the Company scheduled to be held on 28 August 2026.,,,Shareholders meeting,00:00:00,18082026212808,18-Aug-2026 21:28:08,2.23 MB,True,,,106748891,Electronics - Industrial,INE263A01016,Bharat Electronics Limited,2026-08-18 21:28:08,BEL
18-Aug-2026 18:16:19,2.90 MB,https://nsearchives.nseindia.com/corporate/BEL_18082026181609_Lettersigned.pdf,"Bharat Electronics Limited has informed the Exchange regarding Appointment of  Shri. Partha Pratim Pathak as Independent Director of the company w.e.f. August 18, 2026.",,,Appointment,00:00:00,18082026181619,18-Aug-2026 18:16:19,2.90 MB,True,,,106748633,Electronics - Industrial,INE263A01016,Bharat Electronics Limited,2026-08-18 18:16:19,BEL
13-Aug-2026 17:48:45,6.77 MB,https://nsearchives.nseindia.com/corporate/BEL_13082026174654_Lettersigned.pdf,Bharat Electronics Limited has informed the Exchange regarding Change in Director(s) of the company.,,,Change in Director(s),00:00:01,13082026174845,13-Aug-2026 17:48:46,6.77 MB,True,,,106742246,Electronics - Industrial,INE263A01016,Bharat Electronics Limited,2026-08-13 17:48:45,BEL
10-Aug-2026 17:35:59,1.16 MB,https://nsearchives.nseindia.com/corporate/BEL_10082026173144_Lettersigned.pdf,Bharat Electronics Limited has informed the Exchange about Bagging/Receiving of orders/contracts,,,Bagging/Receiving of orders/contracts,00:00:01,10082026173559,10-Aug-2026 17:36:00,1.16 MB,True,,,106734854,Electronics - Industrial,INE263A01016,Bharat Electronics Limited,2026-08-10 17:35:59,BEL
05-Aug-2026 21:22:30,9.38 MB,https://nsearchives.nseindia.com/corporate/BEL_05082026212159_Lettersigned.pdf,Bharat Electronics Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:00,05082026212230,05-Aug-2026 21:22:30,9.38 MB,True,,,106727520,Electronics - Industrial,INE263A01016,Bharat Electronics Limited,2026-08-05 21:22:30,BEL
05-Aug-2026 21:17:59,2.04 MB,https://nsearchives.nseindia.com/corporate/BEL_05082026211750_Lettersigned.pdf,Bharat Electronics Limited has informed the Exchange about BRSR Report for FY 2025-26,,,General Updates,00:00:01,05082026211759,05-Aug-2026 21:18:00,2.04 MB,True,,,106727513,Electronics - Industrial,INE263A01016,Bharat Electronics Limited,2026-08-05 21:17:59,BEL
