an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
31-Aug-2026 19:55:04,321.84 KB,https://nsearchives.nseindia.com/corporate/BHARTIARTL_31082026195258_BhartiAirtelReg30STXIntimation.pdf,Bharti Airtel Limited has informed the Exchange about Action(s) taken or orders passed,,,Action(s) taken or orders passed,00:00:02,31082026195504,31-Aug-2026 19:55:06,321.84 KB,True,,,106763130,Telecommunication - Services,INE397D01024,Bharti Airtel Limited,2026-08-31 19:55:04,BHARTIARTL
25-Aug-2026 16:12:24,2.79 MB,https://nsearchives.nseindia.com/corporate/BHARTIARTL_25082026161157_Bharti_Airtel_-_Reg_30_disclosure.pdf,Bharti Airtel Limited has informed the Exchange about Action(s) taken or orders passed,,,Action(s) taken or orders passed,00:00:01,25082026161224,25-Aug-2026 16:12:25,2.79 MB,True,,,106755730,Telecommunication - Services,INE397D01024,Bharti Airtel Limited,2026-08-25 16:12:24,BHARTIARTL
21-Aug-2026 17:26:21,2.71 MB,https://nsearchives.nseindia.com/corporate/BHARTIARTL_21082026172328_Bharti_Airtel_-_Investor_Meet_STX_Intimation_sgd.pdf,Bharti Airtel Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,21082026172621,21-Aug-2026 17:26:22,2.71 MB,True,,,106752658,Telecommunication - Services,INE397D01024,Bharti Airtel Limited,2026-08-21 17:26:21,BHARTIARTL
18-Aug-2026 23:06:14,2.72 MB,https://nsearchives.nseindia.com/corporate/BHARTIARTL_18082026225520_AirtelSTXUpdateonfirstandfinalcall.pdf,"Bharti Airtel Limited has informed the Exchange regarding 'Update on conversion of partly paid-up equity shares into fully paid-up equity shares, upon receipt of First and Final Call pursuant to Reminder Notice issued by the Company'.",,,Updates,00:00:02,18082026230614,18-Aug-2026 23:06:16,2.72 MB,True,,,106749024,Telecommunication - Services,INE397D01024,Bharti Airtel Limited,2026-08-18 23:06:14,BHARTIARTL
17-Aug-2026 16:30:17,540.16 KB,https://nsearchives.nseindia.com/corporate/BHARTIARTL_17082026162258_PRAug17.pdf,Bharti Airtel Limited has informed the Exchange regarding an update.,,,Updates,00:00:02,17082026163017,17-Aug-2026 16:30:19,540.16 KB,True,,,106746972,Telecommunication - Services,INE397D01024,Bharti Airtel Limited,2026-08-17 16:30:17,BHARTIARTL
13-Aug-2026 16:56:13,226.98 KB,https://nsearchives.nseindia.com/corporate/BHARTIARTL_13082026165533_Bharti_Airtel-Investor_Meet_STX_Intimation.pdf,Bharti Airtel Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,13082026165613,13-Aug-2026 16:56:14,226.98 KB,True,,,106741951,Telecommunication - Services,INE397D01024,Bharti Airtel Limited,2026-08-13 16:56:13,BHARTIARTL
10-Aug-2026 19:00:52,584.11 KB,https://nsearchives.nseindia.com/corporate/BHARTIARTL_10082026185505_Stx_Intimation.pdf,"Bharti Airtel Limited has informed the Exchange about Transcript of Earning Call dt. August 05, 2026.",,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:00,10082026190052,10-Aug-2026 19:00:52,584.11 KB,True,,,106735246,Telecommunication - Services,INE397D01024,Bharti Airtel Limited,2026-08-10 19:00:52,BHARTIARTL
10-Aug-2026 12:03:25,2.86 MB,https://nsearchives.nseindia.com/corporate/BHARTIARTL_10082026120302_BhartiAirtelPressRelease.pdf,"Bharti Airtel Limited has informed the Exchange regarding a press release dated August 10, 2026, titled ""Airtel Business and ITI Limited enter into strategic partnership to accelerate India s digital transformation"".",,,Press Release,00:00:01,10082026120325,10-Aug-2026 12:03:26,2.86 MB,True,,,106734033,Telecommunication - Services,INE397D01024,Bharti Airtel Limited,2026-08-10 12:03:25,BHARTIARTL
07-Aug-2026 13:15:57,2.77 MB,https://nsearchives.nseindia.com/corporate/BHARTIARTL_07082026131325_BhartiAirtelReg30.pdf,Bharti Airtel Limited has informed the Exchange about Action(s) taken or orders passed,,,Action(s) taken or orders passed,00:00:01,07082026131557,07-Aug-2026 13:15:58,2.77 MB,True,,,106730799,Telecommunication - Services,INE397D01024,Bharti Airtel Limited,2026-08-07 13:15:57,BHARTIARTL
06-Aug-2026 22:56:29,279.84 KB,https://nsearchives.nseindia.com/corporate/BHARTIARTL_06082026225434_STX_Disclosure_-_Nxtra_SPVs_Acquisition.pdf,"Bharti Airtel Limited has informed the Exchange that Nxtra Data Limited ( Nxtra Data ), a subsidiary of the Company, has entered into agreements for acquisition of upto 85% stake each, in one or more tranches, in Rochak Systems Private Limited and Rovision Tech Hub Private Limited.",,,Acquisition,00:00:00,06082026225629,06-Aug-2026 22:56:29,279.84 KB,True,,,106730052,Telecommunication - Services,INE397D01024,Bharti Airtel Limited,2026-08-06 22:56:29,BHARTIARTL
