an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
25-Aug-2026 18:32:44,202.22 KB,https://nsearchives.nseindia.com/corporate/EICHERMOT_25082026183229_EMLIntimationofscheduleofinvestormeetSigned__1_.pdf,Eicher Motors Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,25082026183244,25-Aug-2026 18:32:45,202.22 KB,True,,,106756153,Automobiles - 4 Wheelers,INE066A01013,Eicher Motors Limited,2026-08-25 18:32:44,EICHERMOT
20-Aug-2026 23:46:41,198.50 KB,https://nsearchives.nseindia.com/corporate/EICHERMOT_20082026234634_AppointmentofDirectors44thAGM20082026Signed.pdf,Eicher Motors Limited has informed the Exchange about Appointment/Re-appointment of Director at 44th AGM,,,General Updates,00:00:00,20082026234641,20-Aug-2026 23:46:41,198.50 KB,True,,,106751822,Automobiles - 4 Wheelers,INE066A01013,Eicher Motors Limited,2026-08-20 23:46:41,EICHERMOT
20-Aug-2026 23:40:44,1.91 MB,https://nsearchives.nseindia.com/corporate/EICHERMOT_20082026233904_EML44thAGMvotingresultsforfilingBSESigned.pdf,"Eicher Motors Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on August 20, 2026. Further, the company has informed the Exchange regarding voting results.",,,Shareholders meeting,00:00:01,20082026234044,20-Aug-2026 23:40:45,1.91 MB,True,,,106751818,Automobiles - 4 Wheelers,INE066A01013,Eicher Motors Limited,2026-08-20 23:40:44,EICHERMOT
20-Aug-2026 19:35:09,218.92 KB,https://nsearchives.nseindia.com/corporate/EICHERMOT_20082026193447_EMLProceedingsofthe44thAnnualGeneralMeetingSigned.pdf,"Eicher Motors Limited has informed the Exchange regarding Proceedings of undefined held on August 20, 2026",,,Shareholders meeting,00:00:01,20082026193509,20-Aug-2026 19:35:10,218.92 KB,True,,,106751514,Automobiles - 4 Wheelers,INE066A01013,Eicher Motors Limited,2026-08-20 19:35:09,EICHERMOT
19-Aug-2026 15:53:40,4.17 MB,https://nsearchives.nseindia.com/corporate/rahulrathore_royalenfield_com_19082026155014_NewspaperPublicationAugust192026.pdf,Eicher Motors Limited has informed the Exchange about Newspaper advertisement- special window for transfer of physical securities,,,General Updates,00:00:01,19082026155340,19-Aug-2026 15:53:41,4.17 MB,True,,,106749661,Automobiles - 4 Wheelers,INE066A01013,Eicher Motors Limited,2026-08-19 15:53:40,EICHERMOT
18-Aug-2026 15:50:19,345.94 KB,https://nsearchives.nseindia.com/corporate/rahulrathore_royalenfield_com_18082026155010_PressReleaseGorkhaSigned.pdf,"Eicher Motors Limited has informed the Exchange regarding a press release dated August 18, 2026, titled ""A Tribute to a Time-Honoured tradition of Valour: The Royal Enfield Classic 350 Gorkha Edition"".",,,Press Release,00:00:01,18082026155019,18-Aug-2026 15:50:20,345.94 KB,True,,,106748322,Automobiles - 4 Wheelers,INE066A01013,Eicher Motors Limited,2026-08-18 15:50:19,EICHERMOT
14-Aug-2026 16:20:05,541.11 KB,https://nsearchives.nseindia.com/corporate/rahulrathore_royalenfield_com_14082026161948_Press_release_EML_Updates_to_Continental_GT_650.pdf,"Eicher Motors Limited has informed the Exchange regarding a press release dated August 14, 2026, titled Royal Enfield brings new updates to the iconic Continental GT 650",,,Press Release,00:00:02,14082026162005,14-Aug-2026 16:20:07,541.11 KB,True,,,106744416,Automobiles - 4 Wheelers,INE066A01013,Eicher Motors Limited,2026-08-14 16:20:05,EICHERMOT
04-Aug-2026 14:40:02,3.87 MB,https://nsearchives.nseindia.com/corporate/rahulrathore_royalenfield_com_04082026143907_TranscriptofConferencecalljuly292026.pdf,Eicher Motors Limited has informed the Exchange about Transcript,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,04082026144002,04-Aug-2026 14:40:03,3.87 MB,True,,,106723840,Automobiles - 4 Wheelers,INE066A01013,Eicher Motors Limited,2026-08-04 14:40:02,EICHERMOT
01-Aug-2026 13:58:49,1.51 MB,https://nsearchives.nseindia.com/corporate/EICHERMOT_01082026135838_EMLMonthlyBusinessUpdate1stAugust2026Signed.pdf,Eicher Motors Limited has informed the Exchange regarding Monthly Business Updates for the month of July 2026,,,Monthly Business Updates,00:00:01,01082026135849,01-Aug-2026 13:58:50,1.51 MB,True,,,106720672,Automobiles - 4 Wheelers,INE066A01013,Eicher Motors Limited,2026-08-01 13:58:49,EICHERMOT
01-Aug-2026 11:21:26,289.80 KB,https://nsearchives.nseindia.com/corporate/Navneetnse_01082026112025_VECVJul26salesUpdate1stAug26UpdatedSigned.pdf,"Eicher Motors Limited has informed the Exchange regarding Monthly Business Updates for the month of July 2026 of VE Commercial Vehicles Limited, an unlisted material subsidiary of Eicher MOtors Limited",,,Monthly Business Updates,00:00:01,01082026112126,01-Aug-2026 11:21:27,289.80 KB,True,,,106720515,Automobiles - 4 Wheelers,INE066A01013,Eicher Motors Limited,2026-08-01 11:21:26,EICHERMOT
