an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
27-Aug-2026 19:59:44,1.70 MB,https://nsearchives.nseindia.com/corporate/ZOMATO_27082026195837_VotingResultSignedAGM.pdf,"Eternal Limited has submitted with exchange copy of scrutinizers report and voting results of 16th Annual General Meeting of the Company held on August 26, 2026.",,,Shareholders meeting,00:00:01,27082026195944,27-Aug-2026 19:59:45,1.70 MB,True,,,106759623,,INE758T01015,ETERNAL LIMITED,2026-08-27 19:59:44,ETERNAL
26-Aug-2026 20:30:37,334.83 KB,https://nsearchives.nseindia.com/corporate/ZOMATO_26082026202912_SignedproceedingsofAGM.pdf,"Eternal Limited has informed the exchange regarding proceedings of 16th Annual General Meeting of the Company held on August 26, 2026.",,,Shareholders meeting,00:00:01,26082026203037,26-Aug-2026 20:30:38,334.83 KB,True,,,106757996,,INE758T01015,ETERNAL LIMITED,2026-08-26 20:30:37,ETERNAL
31-Jul-2026 17:47:06,1.30 MB,https://nsearchives.nseindia.com/corporate/ZOMATO_31072026174615_NewspaperAdPost31072026.pdf,Eternal Limited has informed the exchange about newspaper advertisement regarding 16th annual general meeting of the Company and other information.,,,Copy of Newspaper Publication,00:00:02,31072026174706,31-Jul-2026 17:47:08,1.30 MB,True,,,106719572,,INE758T01015,ETERNAL LIMITED,2026-07-31 17:47:06,ETERNAL
30-Jul-2026 21:27:47,652.18 KB,https://nsearchives.nseindia.com/corporate/ZOMATO_30072026212625_AGMphysicalletter30072026signed.pdf,Eternal Limited has informed the stock exchange regarding dispatch of physical communication to shareholders who have not registered their email address.,,,General Updates,00:00:01,30072026212747,30-Jul-2026 21:27:48,652.18 KB,True,,,106718116,,INE758T01015,ETERNAL LIMITED,2026-07-30 21:27:47,ETERNAL
29-Jul-2026 20:51:01,45.98 MB,https://nsearchives.nseindia.com/corporate/ZOMATO_29072026204816_EternalAnnualreportsignedNSE.pdf,"Eternal Limited has filed with the exchange notice of 16th annual general meeting to be held on August 26, 2026.",,,Shareholders meeting,00:00:02,29072026205101,29-Jul-2026 20:51:03,45.98 MB,True,,,106716192,,INE758T01015,ETERNAL LIMITED,2026-07-29 20:51:01,ETERNAL
29-Jul-2026 14:52:26,337.47 KB,https://nsearchives.nseindia.com/corporate/ZOMATO_29072026145100_TranscriptfilingJuly222026.pdf,ETERNAL LIMITED has informed the Exchange about Transcript,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,29072026145226,29-Jul-2026 14:52:27,337.47 KB,True,,,106715219,,INE758T01015,ETERNAL LIMITED,2026-07-29 14:52:26,ETERNAL
28-Jul-2026 20:49:54,1.43 MB,https://nsearchives.nseindia.com/corporate/ZOMATO_28072026204610_PreNewspaperAdvertisementsigned.pdf,Eternal Limited has filed with the exchange copy of newspaper publication.,,,Copy of Newspaper Publication,00:00:01,28072026204954,28-Jul-2026 20:49:55,1.43 MB,True,,,106714346,,INE758T01015,ETERNAL LIMITED,2026-07-28 20:49:54,ETERNAL
22-Jul-2026 18:29:34,287.37 KB,https://nsearchives.nseindia.com/corporate/ZOMATO_22072026182800_MARSignedJune2026.pdf,"Eternal Limited has filed with exchange monitoring agency report for quarter ended June 30, 2026.",,,Monitoring Agency Report,00:00:00,22072026182934,22-Jul-2026 18:29:34,287.37 KB,True,,,106706932,,INE758T01015,ETERNAL LIMITED,2026-07-22 18:29:34,ETERNAL
22-Jul-2026 16:10:38,435.16 KB,https://nsearchives.nseindia.com/corporate/ZOMATO_22072026161031_Eternalfairdsiclosurecodesigned.pdf,Eternal Limited has filed with the exchange Code of practices and procedures for fair disclosure of unpublished price sensitive information.,,,Updates,00:00:01,22072026161038,22-Jul-2026 16:10:39,435.16 KB,True,,,106706573,,INE758T01015,ETERNAL LIMITED,2026-07-22 16:10:38,ETERNAL
22-Jul-2026 15:11:34,3.03 MB,https://nsearchives.nseindia.com/corporate/ZOMATO_22072026151124_Eternalouctomesigned.pdf,"Eternal limited has informed the exchange regarding business transfer agreement between Company and Carthero Technologies Private Limited, wholly owned subsidiary of the Company.",,,Sale or disposal,00:00:01,22072026151134,22-Jul-2026 15:11:35,3.03 MB,True,,,106706473,,INE758T01015,ETERNAL LIMITED,2026-07-22 15:11:34,ETERNAL
