an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
31-Aug-2026 13:55:08,291.46 KB,https://nsearchives.nseindia.com/corporate/HDFCBANK_31082026135453_SELetterESOP31082026.pdf,HDFC Bank Limited has informed the Exchange regarding Allotment of 3058164  Shares.,,,ESOP/ESOS/ESPS,00:00:01,31082026135508,31-Aug-2026 13:55:09,291.46 KB,True,,,106762227,Banks,INE040A01018,HDFC Bank Limited,2026-08-31 13:55:08,HDFCBANK
29-Aug-2026 20:28:37,290.33 KB,https://nsearchives.nseindia.com/corporate/HDFCBANK_29082026202524_Stock_exchange_intimationSJ.pdf,"HDFC Bank Limited has informed the Exchange regarding Disclosure under Regulation 30 and other applicable regulations of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",,,General Updates,00:00:01,29082026202837,29-Aug-2026 20:28:38,290.33 KB,True,,,106761665,Banks,INE040A01018,HDFC Bank Limited,2026-08-29 20:28:37,HDFCBANK
29-Aug-2026 17:46:11,290.32 KB,https://nsearchives.nseindia.com/corporate/HDFCBANK_29082026174541_Stockexchangeintimation_SJ.pdf,"HDFC Bank Limited has informed the Exchange regarding Disclosure under Regulation 30 and other applicable regulations of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",,,General Updates,00:00:01,29082026174611,29-Aug-2026 17:46:12,290.32 KB,True,,,106761495,Banks,INE040A01018,HDFC Bank Limited,2026-08-29 17:46:11,HDFCBANK
24-Aug-2026 22:43:22,609.30 KB,https://nsearchives.nseindia.com/corporate/HDFCBANK3_24082026224258_SEIntimationAugust242026.pdf,HDFC Bank Limited has informed the Exchange about General Updates,,,General Updates,00:00:02,24082026224322,24-Aug-2026 22:43:24,609.30 KB,True,,,106754927,Banks,INE040A01018,HDFC Bank Limited,2026-08-24 22:43:22,HDFCBANK
20-Aug-2026 22:59:40,768.43 KB,https://nsearchives.nseindia.com/corporate/HDFCBANK3_20082026225919_SE_Intimatio-_Unsecured_bonds.pdf,HDFC Bank Limited has informed the Exchange about General Updates,,,General Updates,00:00:00,20082026225940,20-Aug-2026 22:59:40,768.43 KB,True,,,106751730,Banks,INE040A01018,HDFC Bank Limited,2026-08-20 22:59:40,HDFCBANK
20-Aug-2026 17:16:08,1.02 MB,https://nsearchives.nseindia.com/corporate/HDFCBANK_20082026171343_Rating_20Aug2026.pdf,HDFC Bank Limited has informed the Exchange about Credit Rating,,,Credit Rating,00:00:01,20082026171608,20-Aug-2026 17:16:09,1.02 MB,True,,,106751149,Banks,INE040A01018,HDFC Bank Limited,2026-08-20 17:16:08,HDFCBANK
19-Aug-2026 23:19:15,944.49 KB,https://nsearchives.nseindia.com/corporate/HDFCBANK_19082026231821_IndiaandCARErating_19Aug2026.pdf,HDFC Bank Limited has informed the Exchange about Credit Rating,,,Credit Rating,00:00:01,19082026231915,19-Aug-2026 23:19:16,944.49 KB,True,,,106750362,Banks,INE040A01018,HDFC Bank Limited,2026-08-19 23:19:15,HDFCBANK
19-Aug-2026 22:52:22,604.40 KB,https://nsearchives.nseindia.com/corporate/HDFCBANK_19082026224543_RBIapproval_MajorshareholderLIC.pdf,"HDFC Bank Limited has informed the Exchange regarding 'Intimation under Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( SEBI Listing Regulations )'.",,,Updates,00:00:01,19082026225222,19-Aug-2026 22:52:23,604.40 KB,True,,,106750293,Banks,INE040A01018,HDFC Bank Limited,2026-08-19 22:52:22,HDFCBANK
16-Aug-2026 19:34:00,502.76 KB,https://nsearchives.nseindia.com/corporate/HDFCBANK_16082026193110_SEIntimation_August162026.pdf,HDFC Bank Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,16082026193400,16-Aug-2026 19:34:01,502.76 KB,True,,,106746345,Banks,INE040A01018,HDFC Bank Limited,2026-08-16 19:34:00,HDFCBANK
14-Aug-2026 14:10:29,291.50 KB,https://nsearchives.nseindia.com/corporate/HDFCBANK_14082026140700_SELetterESOP14082026.pdf,HDFC Bank Limited has informed the Exchange regarding Allotment of 1729212  Shares.,,,ESOP/ESOS/ESPS,00:00:01,14082026141029,14-Aug-2026 14:10:30,291.50 KB,True,,,106744049,Banks,INE040A01018,HDFC Bank Limited,2026-08-14 14:10:29,HDFCBANK
