an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
31-Aug-2026 17:22:59,205.13 KB,https://nsearchives.nseindia.com/corporate/HDFCLIFE2_31082026172241_SE_Intimation_-_Analyst_Meet.pdf,HDFC Life Insurance Company Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,31082026172259,31-Aug-2026 17:23:00,205.13 KB,True,,,106762592,,INE795G01014,HDFC Life Insurance Company Limited,2026-08-31 17:22:59,HDFCLIFE
26-Aug-2026 19:08:03,204.45 KB,https://nsearchives.nseindia.com/corporate/HDFCLIFE2_26082026190720_ESOPAllotment.pdf,HDFC Life Insurance Company Limited has informed the Exchange regarding allotment of 114000 equity shares under Employee Stock Option Schemes,,,Allotment of Securities,00:00:02,26082026190803,26-Aug-2026 19:08:05,204.45 KB,True,,,106757888,,INE795G01014,HDFC Life Insurance Company Limited,2026-08-26 19:08:03,HDFCLIFE
19-Aug-2026 16:47:53,203.88 KB,https://nsearchives.nseindia.com/corporate/HDFCLIFE2_19082026164631_SE1908.pdf,HDFC Life Insurance Company Limited has informed the Exchange regarding 'Approval from the Insurance Regulatory and Development Authority of India (IRDAI) for re-appointment of Executive Directors'.,,,Updates,00:00:02,19082026164753,19-Aug-2026 16:47:55,203.88 KB,True,,,106749769,,INE795G01014,HDFC Life Insurance Company Limited,2026-08-19 16:47:53,HDFCLIFE
04-Aug-2026 16:13:46,166.57 KB,https://nsearchives.nseindia.com/corporate/HDFCLIFE2_04082026161337_SE_Announcement_-_Analyst_Meet_Intimation.pdf,HDFC Life Insurance Company Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,04082026161346,04-Aug-2026 16:13:47,166.57 KB,True,,,106724124,,INE795G01014,HDFC Life Insurance Company Limited,2026-08-04 16:13:46,HDFCLIFE
22-Jul-2026 17:59:18,373.08 KB,https://nsearchives.nseindia.com/corporate/HDFCLIFE1_22072026175853_Transcript.pdf,HDFC Life Insurance Company Limited has informed the Exchange about Transcript,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,22072026175918,22-Jul-2026 17:59:19,373.08 KB,True,,,106706835,,INE795G01014,HDFC Life Insurance Company Limited,2026-07-22 17:59:18,HDFCLIFE
16-Jul-2026 23:37:19,3.03 MB,https://nsearchives.nseindia.com/corporate/HDFCLIFE2_16072026233703_AGM_Proceedings-_July_2026.pdf,"HDFC Life Insurance Company Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on July 16, 2026",,,Shareholders meeting,00:00:01,16072026233719,16-Jul-2026 23:37:20,3.03 MB,True,,,106700911,,INE795G01014,HDFC Life Insurance Company Limited,2026-07-16 23:37:19,HDFCLIFE
15-Jul-2026 21:27:00,352.52 KB,https://nsearchives.nseindia.com/corporate/HDFCLIFE2_15072026212631_Audio_Recording_of_earnings_call__1___3_.pdf,HDFC Life Insurance Company Limited has informed the Exchange about Link of Recording,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,15072026212700,15-Jul-2026 21:27:01,352.52 KB,True,,,106699334,,INE795G01014,HDFC Life Insurance Company Limited,2026-07-15 21:27:00,HDFCLIFE
15-Jul-2026 16:16:37,212.32 KB,https://nsearchives.nseindia.com/corporate/HDFCLIFE2_15072026161510_Sumit_Bose_-_Completion_of_Tenure_Intimation.pdf,"HDFC Life Insurance Company Limited has informed the Exchange regarding Cessation of Mr Sumit Bose as Independent Director, of the company w.e.f. July 18, 2026 upon completion of his tenure of two consecutive terms of five years",,,Cessation,00:00:02,15072026161637,15-Jul-2026 16:16:39,212.32 KB,True,,,106698698,,INE795G01014,HDFC Life Insurance Company Limited,2026-07-15 16:16:37,HDFCLIFE
15-Jul-2026 16:09:45,1.64 MB,https://nsearchives.nseindia.com/corporate/HDFCLIFE2_15072026160859_Statement_of_Deviation__1_.pdf,HDFC Life Insurance Company Limited has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32,,,Statement of deviation(s) or variation(s) under Reg. 32,00:00:01,15072026160945,15-Jul-2026 16:09:46,1.64 MB,True,,,106698685,,INE795G01014,HDFC Life Insurance Company Limited,2026-07-15 16:09:45,HDFCLIFE
15-Jul-2026 15:56:47,4.34 MB,https://nsearchives.nseindia.com/corporate/HDFCLIFE2_15072026155622_Press_Release__1_.pdf,"HDFC Life Insurance Company Limited has informed the Exchange regarding a press release dated July 15, 2026, titled ""Press Release and Investor Presentation   Financial Results Q1 FY 27"".",,,Press Release,00:00:01,15072026155647,15-Jul-2026 15:56:48,4.34 MB,True,,,106698650,,INE795G01014,HDFC Life Insurance Company Limited,2026-07-15 15:56:47,HDFCLIFE
