an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
21-Aug-2026 21:10:20,491.01 KB,https://nsearchives.nseindia.com/corporate/HINDUNILVR_21082026210956_SEIntimationNewspaperAd.pdf,Copy of Newspaper Publication dated 21.08.2026,,,Copy of Newspaper Publication,00:00:01,21082026211020,21-Aug-2026 21:10:21,491.01 KB,True,,,106753039,Diversified,INE030A01027,Hindustan Unilever Limited,2026-08-21 21:10:20,HINDUNILVR
12-Aug-2026 19:59:56,203.17 KB,https://nsearchives.nseindia.com/corporate/HINDUNILVR_12082026195938_SignedSEIntimationScheduleofAnalystMeet.pdf,Schedule of Analyst/Investor Meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,12082026195956,12-Aug-2026 19:59:57,203.17 KB,True,,,106740194,Diversified,INE030A01027,Hindustan Unilever Limited,2026-08-12 19:59:56,HINDUNILVR
04-Aug-2026 17:15:14,463.78 KB,https://nsearchives.nseindia.com/corporate/HINDUNILVR_04082026171319_SEIntimationTranscriptofEarningsCallSigned.pdf,"Transcript of the Earnings Conference Call for the quarter ended 30th June, 2026",,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,04082026171514,04-Aug-2026 17:15:15,463.78 KB,True,,,106724385,Diversified,INE030A01027,Hindustan Unilever Limited,2026-08-04 17:15:14,HINDUNILVR
31-Jul-2026 16:01:40,8.40 MB,https://nsearchives.nseindia.com/corporate/HINDUNILVR_31072026160115_SEIntimationNewspaper_Ad_Financial_Results_signed.pdf,"Copy of Newspaper Publication regarding extract of the Unaudited Standalone and Consolidated Financial Results for the quarter ended 30th June, 2026",,,Copy of Newspaper Publication,00:00:01,31072026160140,31-Jul-2026 16:01:41,8.40 MB,True,,,106719219,Diversified,INE030A01027,Hindustan Unilever Limited,2026-07-31 16:01:40,HINDUNILVR
28-Jul-2026 22:45:15,218.47 KB,https://nsearchives.nseindia.com/corporate/HINDUNILVR_28072026224506_28072026AudioVideoRecordingofEarningsCallsigned.pdf,"Audio Video recording of the Earnings Conference Call held on 28th July, 2026",,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:02,28072026224515,28-Jul-2026 22:45:17,218.47 KB,True,,,106714455,Diversified,INE030A01027,Hindustan Unilever Limited,2026-07-28 22:45:15,HINDUNILVR
28-Jul-2026 20:15:40,208.73 KB,https://nsearchives.nseindia.com/corporate/HINDUNILVR_28072026201523_28072026CapitalMarketsDaysigned.pdf,"Intimation regarding Capital Markets Day, 2026",,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,28072026201540,28-Jul-2026 20:15:41,208.73 KB,True,,,106714312,Diversified,INE030A01027,Hindustan Unilever Limited,2026-07-28 20:15:40,HINDUNILVR
28-Jul-2026 10:02:36,3.73 MB,https://nsearchives.nseindia.com/corporate/HINDUNILVR_28072026100218_SEIntimationInvestorPresentation28072026signed.pdf,Hindustan Unilever Limited has informed the Exchange about Investor Presentation,,,Investor Presentation,00:00:01,28072026100236,28-Jul-2026 10:02:37,3.73 MB,True,,,106713026,Diversified,INE030A01027,Hindustan Unilever Limited,2026-07-28 10:02:36,HINDUNILVR
28-Jul-2026 10:00:42,5.73 MB,https://nsearchives.nseindia.com/corporate/HINDUNILVR_28072026095923_SEIntimationOutcome28072026signed.pdf,Outcome of Board Meeting 28th July 2026,,,Outcome of Board Meeting,00:00:01,28072026100042,28-Jul-2026 10:00:43,5.73 MB,True,,,106713025,Diversified,INE030A01027,Hindustan Unilever Limited,2026-07-28 10:00:42,HINDUNILVR
22-Jul-2026 20:03:51,205.06 KB,https://nsearchives.nseindia.com/corporate/HINDUNILVR_22072026200316_28072026EarningConferenceCallIntimationsigned.pdf,"Intimation of Earnings Conference Call for the quarter ended 30th June, 2026",,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,22072026200351,22-Jul-2026 20:03:52,205.06 KB,True,,,106707122,Diversified,INE030A01027,Hindustan Unilever Limited,2026-07-22 20:03:51,HINDUNILVR
15-Jul-2026 19:03:06,569.41 KB,https://nsearchives.nseindia.com/corporate/HINDUNILVR_15072026190254_Regulation74_5_Intimationsigned.pdf,"Certificate under Regulation 74(5) of the SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended 30th June 2026",,,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",00:00:01,15072026190306,15-Jul-2026 19:03:07,569.41 KB,True,,,106699154,Diversified,INE030A01027,Hindustan Unilever Limited,2026-07-15 19:03:06,HINDUNILVR
