an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
31-Aug-2026 16:04:18,346.91 KB,https://nsearchives.nseindia.com/corporate/ICICI2022_31082026160131_NSEBSE_31082026.pdf,"ICICI Bank Limited has informed the Exchange about disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 -This is to inform you that ICICI Bank Limited (Bank), acting through its IFSC Banking Unit, has, today at 9:55 a.m. IST priced USD 500 million Senior Unsecured Fixed Rate Notes under the USD 7.5 billion Global Medium Term Note Programme of the Bank.",,,General Updates,00:00:02,31082026160418,31-Aug-2026 16:04:20,346.91 KB,True,,,106762397,Banks,INE090A01013,ICICI Bank Limited,2026-08-31 16:04:18,ICICIBANK
28-Aug-2026 16:27:00,3.32 MB,https://nsearchives.nseindia.com/corporate/ICICI2022_28082026162551_BSENSE28082026.pdf,"Disclosure under Regulation 30 read with para A of Schedule III  and Regulation 46(2) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",,,General Updates,00:00:01,28082026162700,28-Aug-2026 16:27:01,3.32 MB,True,,,106760532,Banks,INE090A01013,ICICI Bank Limited,2026-08-28 16:27:00,ICICIBANK
27-Aug-2026 21:42:34,347.37 KB,https://nsearchives.nseindia.com/corporate/ICICI2022_27082026214058_BSENSE27082026.pdf,"ICICI Bank Limited has informed the Exchange about disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",,,General Updates,00:00:01,27082026214234,27-Aug-2026 21:42:35,347.37 KB,True,,,106759735,Banks,INE090A01013,ICICI Bank Limited,2026-08-27 21:42:34,ICICIBANK
27-Aug-2026 16:27:50,436.41 KB,https://nsearchives.nseindia.com/corporate/ICICIBANK1_27082026162709_Lettertoexchange.pdf,ICICI Bank Limited has informed the Exchange regarding Allotment of 48983  Shares.,,,ESOP/ESOS/ESPS,00:00:00,27082026162750,27-Aug-2026 16:27:50,436.41 KB,True,,,106758996,Banks,INE090A01013,ICICI Bank Limited,2026-08-27 16:27:50,ICICIBANK
24-Aug-2026 18:51:48,346.65 KB,https://nsearchives.nseindia.com/corporate/ICICI2022_24082026185053_NSEBSE24082026.pdf,ICICI Bank Limited has informed the Exchange about Credit Rating,,,Credit Rating,00:00:00,24082026185148,24-Aug-2026 18:51:48,346.65 KB,True,,,106754659,Banks,INE090A01013,ICICI Bank Limited,2026-08-24 18:51:48,ICICIBANK
24-Aug-2026 18:26:46,346.65 KB,https://nsearchives.nseindia.com/corporate/ICICI2022_24082026182614_NSEBSE24082026.pdf,"ICICI Bank Limited has informed the Exchange about disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 - This is to inform you that ICICI Bank Limited, acting through its IFSC Banking Unit,  has today at 10:45 a.m. IST priced USD 1 billion Senior Unsecured Fixed Rate Notes under the USD 7.5 billion Global Medium Term Note Programme of the Bank. Moody's Ratings and S&P Global Ratings have vide letters dated August 24, 2026, assigned Baa3 and BBB rating to the Notes respectively.",,,General Updates,00:00:01,24082026182646,24-Aug-2026 18:26:47,346.65 KB,True,,,106754594,Banks,INE090A01013,ICICI Bank Limited,2026-08-24 18:26:46,ICICIBANK
24-Aug-2026 14:57:37,3.09 MB,https://nsearchives.nseindia.com/corporate/ICICIBANK1_24082026145442_LETTERTOSTOCKEXCHNAGE.pdf,"ICICI Bank Limited has informed the Exchange regarding Allotment of 181843 Equity Shares under ICICI Bank Employees Stock Option Scheme-2000 on August 24, 2026.",,,ESOP/ESOS/ESPS,00:00:01,24082026145737,24-Aug-2026 14:57:38,3.09 MB,True,,,106754172,Banks,INE090A01013,ICICI Bank Limited,2026-08-24 14:57:37,ICICIBANK
24-Aug-2026 13:31:52,393.17 KB,https://nsearchives.nseindia.com/corporate/ICICI2022_24082026132739_BSENSE.pdf,"ICICI Bank Limited has informed the Exchange about disclosure under Regulation 30 read with para A of Schedule III and Regulation 46(2) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015",,,General Updates,00:00:01,24082026133152,24-Aug-2026 13:31:53,393.17 KB,True,,,106754103,Banks,INE090A01013,ICICI Bank Limited,2026-08-24 13:31:52,ICICIBANK
21-Aug-2026 22:42:55,337.96 KB,https://nsearchives.nseindia.com/corporate/ICICI2022_21082026224108_BSENSE21082026.pdf,"In continuation to our earlier letters dated August 18, 2026, please note that ICICI Bank Limited, acting through its IFSC Banking Unit, has today completed the issuance of USD 750 million Senior Unsecured Fixed Rate Notes (Notes) under the USD 7.5 billion Global Medium Term Note Programme of the Bank. The Notes are rated BBB by S&P Global Ratings and Baa3 by Moody s Ratings. The Notes will be listed at Global Securities Market of the India International Exchange IFSC Limited, Debt Securities Market of the NSE IFSC Limited and SGX-ST.",,,General Updates,00:00:00,21082026224255,21-Aug-2026 22:42:55,337.96 KB,True,,,106753078,Banks,INE090A01013,ICICI Bank Limited,2026-08-21 22:42:55,ICICIBANK
21-Aug-2026 22:14:25,1.11 MB,https://nsearchives.nseindia.com/corporate/ICICI2022_21082026221317_BSENSE21082026.pdf,"ICICI Bank Limited has informed the Exchange regarding summary of proceedings of 32nd Annual General Meeting held on August 21, 2026 along with consolidated scrutinizers report",,,Shareholders meeting,00:00:02,21082026221425,21-Aug-2026 22:14:27,1.11 MB,True,,,106753066,Banks,INE090A01013,ICICI Bank Limited,2026-08-21 22:14:25,ICICIBANK
