an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
20-Aug-2026 19:47:09,1.45 MB,https://nsearchives.nseindia.com/corporate/Indigo1_20082026194656_Voting_Results_Scrutiniser_Report.pdf,"InterGlobe Aviation Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on August 20, 2026. Further, the company has informed the Exchange regarding voting results.",,,Shareholders meeting,00:00:01,20082026194709,20-Aug-2026 19:47:10,1.45 MB,True,,,106751529,,INE646L01027,InterGlobe Aviation Limited,2026-08-20 19:47:09,INDIGO
20-Aug-2026 19:31:59,667.03 KB,https://nsearchives.nseindia.com/corporate/Indigo1_20082026193128_SE_AGM_Proceedings.pdf,"InterGlobe Aviation Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on August 20, 2026",,,Shareholders meeting,00:00:01,20082026193159,20-Aug-2026 19:32:00,667.03 KB,True,,,106751510,,INE646L01027,InterGlobe Aviation Limited,2026-08-20 19:31:59,INDIGO
18-Aug-2026 19:43:40,229.40 KB,https://nsearchives.nseindia.com/corporate/Indigo1_18082026194312_LoDR_-_Detention_Order_.pdf,InterGlobe Aviation Limited has informed the Exchange about Action(s) taken or orders passed,,,Action(s) taken or orders passed,00:00:01,18082026194340,18-Aug-2026 19:43:41,229.40 KB,True,,,106748822,,INE646L01027,InterGlobe Aviation Limited,2026-08-18 19:43:40,INDIGO
03-Aug-2026 12:40:58,366.12 KB,https://nsearchives.nseindia.com/corporate/Indigo1_03082026124046_SE_Disclosure_-_CEO_effective_date.pdf,"InterGlobe Aviation Limited has informed the Exchange regarding a press release dated August 03, 2026.",,,Press Release,00:00:01,03082026124058,03-Aug-2026 12:40:59,366.12 KB,True,,,106721683,,INE646L01027,InterGlobe Aviation Limited,2026-08-03 12:40:58,INDIGO
31-Jul-2026 21:11:20,335.12 KB,https://nsearchives.nseindia.com/corporate/Indigo1_31072026211109_SE_Disclosure_-_Press_Release_-_Norse.pdf,InterGlobe Aviation Limited has informed the Exchange regarding a Press Release.,,,Press Release,00:00:01,31072026211120,31-Jul-2026 21:11:21,335.12 KB,True,,,106720162,,INE646L01027,InterGlobe Aviation Limited,2026-07-31 21:11:20,INDIGO
29-Jul-2026 15:04:41,491.77 KB,https://nsearchives.nseindia.com/corporate/Indigo1_29072026150324_Transcript.pdf,InterGlobe Aviation Limited has informed the Exchange about Transcript,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,29072026150441,29-Jul-2026 15:04:42,491.77 KB,True,,,106715252,,INE646L01027,InterGlobe Aviation Limited,2026-07-29 15:04:41,INDIGO
29-Jul-2026 11:10:23,1.23 MB,https://nsearchives.nseindia.com/corporate/Indigo1_29072026111005_Post_advertisement.pdf,InterGlobe Aviation Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:01,29072026111023,29-Jul-2026 11:10:24,1.23 MB,True,,,106714837,,INE646L01027,InterGlobe Aviation Limited,2026-07-29 11:10:23,INDIGO
28-Jul-2026 21:56:41,15.86 MB,https://nsearchives.nseindia.com/corporate/Indigo1_28072026215606_Notice_of_23rd_AGM_and_Annual_Report.pdf,"InterGlobe Aviation Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 20, 2026",,,Shareholders meeting,00:00:01,28072026215641,28-Jul-2026 21:56:42,15.86 MB,True,,,106714393,,INE646L01027,InterGlobe Aviation Limited,2026-07-28 21:56:41,INDIGO
28-Jul-2026 13:44:25,141.13 KB,https://nsearchives.nseindia.com/corporate/Indigo1_28072026134411_Letters_to_shareholders.pdf,InterGlobe Aviation Limited has informed about the physical letters being sent to the shareholders who have not registered their email address,,,General Updates,00:00:01,28072026134425,28-Jul-2026 13:44:26,141.13 KB,True,,,106713442,,INE646L01027,InterGlobe Aviation Limited,2026-07-28 13:44:25,INDIGO
28-Jul-2026 13:37:56,702.62 KB,https://nsearchives.nseindia.com/corporate/Indigo1_28072026133647_BRSR.pdf,InterGlobe Aviation Limited submitted to the Exchange Business Responsibility and Sustainability Report for FY26,,,General Updates,00:00:01,28072026133756,28-Jul-2026 13:37:57,702.62 KB,True,,,106713436,,INE646L01027,InterGlobe Aviation Limited,2026-07-28 13:37:56,INDIGO
