an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
31-Aug-2026 19:16:45,3.40 MB,https://nsearchives.nseindia.com/corporate/ITC_31082026191614_SE.pdf,ITC Limited has informed the Exchange about Strategic combination of ITC Infotech India Limited and Happiest Minds Technologies Limited,,,Acquisition,00:00:01,31082026191645,31-Aug-2026 19:16:46,3.40 MB,True,,,106763029,Cigarettes,INE154A01025,ITC Limited,2026-08-31 19:16:45,ITC
14-Aug-2026 16:30:08,357.56 KB,https://nsearchives.nseindia.com/corporate/ITC_14082026162931_StockExchangeletter.pdf,ITC Limited has informed the Exchange regarding  of 313800  Options.,,,ESOP/ESOS/ESPS,00:00:00,14082026163008,14-Aug-2026 16:30:08,357.56 KB,True,,,106744461,Cigarettes,INE154A01025,ITC Limited,2026-08-14 16:30:08,ITC
14-Aug-2026 16:11:01,451.84 KB,https://nsearchives.nseindia.com/corporate/ITC_14082026160912_SE.pdf,ITC Limited has informed the Exchange about participation in Investor Conference,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,14082026161101,14-Aug-2026 16:11:02,451.84 KB,True,,,106744390,Cigarettes,INE154A01025,ITC Limited,2026-08-14 16:11:01,ITC
13-Aug-2026 14:53:23,544.90 KB,https://nsearchives.nseindia.com/corporate/ITC_13082026145304_SELetter.pdf,ITC Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:01,13082026145323,13-Aug-2026 14:53:24,544.90 KB,True,,,106741541,Cigarettes,INE154A01025,ITC Limited,2026-08-13 14:53:23,ITC
04-Aug-2026 18:37:15,416.53 KB,https://nsearchives.nseindia.com/corporate/ITC_04082026183658_SE.pdf,ITC Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,04082026183715,04-Aug-2026 18:37:16,416.53 KB,True,,,106724739,Cigarettes,INE154A01025,ITC Limited,2026-08-04 18:37:15,ITC
01-Aug-2026 17:56:42,415.38 KB,https://nsearchives.nseindia.com/corporate/ITC_01082026175506_SE_Century_.pdf,ITC Limited has informed the Exchange about Acquisition of Pulp and Paper Undertaking of Aditya Birla Real Estate Limited - Update,,,General Updates,00:00:01,01082026175642,01-Aug-2026 17:56:43,415.38 KB,True,,,106721001,Cigarettes,INE154A01025,ITC Limited,2026-08-01 17:56:42,ITC
31-Jul-2026 16:42:49,5.56 MB,https://nsearchives.nseindia.com/corporate/ITC_31072026164238_SE_Media_.pdf,ITC Limited has informed the Exchange about General Updates,,,General Updates,00:00:00,31072026164249,31-Jul-2026 16:42:49,5.56 MB,True,,,106719328,Cigarettes,INE154A01025,ITC Limited,2026-07-31 16:42:49,ITC
31-Jul-2026 16:32:56,5.87 MB,https://nsearchives.nseindia.com/corporate/ITC_31072026163240_Results.pdf,"ITC Limited has informed the Exchange regarding  Board meeting held on July 31, 2026.",,,Outcome of Board Meeting,00:00:01,31072026163256,31-Jul-2026 16:32:57,5.87 MB,True,,,106719303,Cigarettes,INE154A01025,ITC Limited,2026-07-31 16:32:56,ITC
31-Jul-2026 16:31:22,5.87 MB,https://nsearchives.nseindia.com/corporate/ITC_31072026162945_Results.pdf,"ITC Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",,,Outcome of Board Meeting,00:00:01,31072026163122,31-Jul-2026 16:31:23,5.87 MB,True,,,106719298,Cigarettes,INE154A01025,ITC Limited,2026-07-31 16:31:22,ITC
29-Jul-2026 14:35:44,416.99 KB,https://nsearchives.nseindia.com/corporate/ITC_29072026143536_SE_ESG_.pdf,ITC Limited has informed the Exchange about Intimation of ESG Score assigned by ESG Risk Assessments & Insights Limited,,,Credit Rating- New,00:00:01,29072026143544,29-Jul-2026 14:35:45,416.99 KB,True,,,106715198,Cigarettes,INE154A01025,ITC Limited,2026-07-29 14:35:44,ITC
23-Jul-2026 20:42:12,386.01 KB,https://nsearchives.nseindia.com/corporate/ITC_23072026204201_SE_ESG_.pdf,ITC Limited has informed the Exchange about Intimation of ESG rating assigned by Crisil ESG Ratings & Analytics Limited,,,Credit Rating- New,00:00:01,23072026204212,23-Jul-2026 20:42:13,386.01 KB,True,,,106708738,Cigarettes,INE154A01025,ITC Limited,2026-07-23 20:42:12,ITC
23-Jul-2026 18:21:35,430.88 KB,https://nsearchives.nseindia.com/corporate/ITC_23072026182127_SE_Director_.pdf,ITC Limited has informed the Exchange regarding Change in Director(s) of the company.,,,Change in Director(s),00:00:00,23072026182135,23-Jul-2026 18:21:35,430.88 KB,True,,,106708509,Cigarettes,INE154A01025,ITC Limited,2026-07-23 18:21:35,ITC
23-Jul-2026 18:13:25,1.09 MB,https://nsearchives.nseindia.com/corporate/ITC_23072026181315_SE_chairmanspeech_.pdf,ITC Limited has informed the address delivered by the Chairman at the 115th Annual General Meeting of the Company on the theme    ITC: Partnering India in its Defining Decade .,,,General Updates,00:00:01,23072026181325,23-Jul-2026 18:13:26,1.09 MB,True,,,106708490,Cigarettes,INE154A01025,ITC Limited,2026-07-23 18:13:25,ITC
23-Jul-2026 18:03:26,1.13 MB,https://nsearchives.nseindia.com/corporate/ITC_23072026180304_SE_VotingResults_.pdf,"ITC Limited has informed the Exchange regarding Proceedings of  Annual General Meeting held on July 23, 2026. Further, the company has informed the Exchange regarding voting results.",,,Shareholders meeting,00:00:00,23072026180326,23-Jul-2026 18:03:26,1.13 MB,True,,,106708449,Cigarettes,INE154A01025,ITC Limited,2026-07-23 18:03:26,ITC
20-Jul-2026 14:44:43,534.87 KB,https://nsearchives.nseindia.com/corporate/ITC_20072026144416_SELetter.pdf,ITC Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:01,20072026144443,20-Jul-2026 14:44:44,534.87 KB,True,,,106703368,Cigarettes,INE154A01025,ITC Limited,2026-07-20 14:44:43,ITC
03-Jul-2026 12:10:18,296.09 KB,https://nsearchives.nseindia.com/corporate/ITC_03072026121009_Demat_Remat_quarterly.pdf,"ITC Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",,,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",00:00:01,03072026121018,03-Jul-2026 12:10:19,296.09 KB,True,,,106685492,Cigarettes,INE154A01025,ITC Limited,2026-07-03 12:10:18,ITC
01-Jul-2026 13:21:02,1.16 MB,https://nsearchives.nseindia.com/corporate/ITC_01072026132049_SELetter.pdf,ITC Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:01,01072026132102,01-Jul-2026 13:21:03,1.16 MB,True,,,106683128,Cigarettes,INE154A01025,ITC Limited,2026-07-01 13:21:02,ITC
26-Jun-2026 16:59:26,14.00 MB,https://nsearchives.nseindia.com/corporate/ITC_26062026165900_SE_RA_.pdf,"ITC Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 23, 2026",,,Shareholders meeting,00:00:00,26062026165926,26-Jun-2026 16:59:26,14.00 MB,True,,,106677441,Cigarettes,INE154A01025,ITC Limited,2026-06-26 16:59:26,ITC
26-Jun-2026 14:48:28,253.98 KB,https://nsearchives.nseindia.com/corporate/ITC_26062026144814_ClosureofTW.pdf,"ITC Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,Trading Window,00:00:01,26062026144828,26-Jun-2026 14:48:29,253.98 KB,True,,,106676870,Cigarettes,INE154A01025,ITC Limited,2026-06-26 14:48:28,ITC
12-Jun-2026 16:14:47,2.78 MB,https://nsearchives.nseindia.com/corporate/ITC_12062026161155_SEIntimation.pdf,ITC Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:00,12062026161447,12-Jun-2026 16:14:47,2.78 MB,True,,,106662066,Cigarettes,INE154A01025,ITC Limited,2026-06-12 16:14:47,ITC
27-May-2026 16:30:03,387.03 KB,https://nsearchives.nseindia.com/corporate/ITC_27052026162901_SE.pdf,ITC Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:02,27052026163003,27-May-2026 16:30:05,387.03 KB,True,,,106643533,Cigarettes,INE154A01025,ITC Limited,2026-05-27 16:30:03,ITC
22-May-2026 17:44:25,432.17 KB,https://nsearchives.nseindia.com/corporate/ITC_22052026174303_SEIntimation.pdf,ITC Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:00,22052026174425,22-May-2026 17:44:25,432.17 KB,True,,,106636516,Cigarettes,INE154A01025,ITC Limited,2026-05-22 17:44:25,ITC
21-May-2026 15:54:46,2.54 MB,https://nsearchives.nseindia.com/corporate/ITC_21052026155432_Results.pdf,ITC Limited has informed the Exchange regarding 'Financial Results'.,,,Updates,00:00:01,21052026155446,21-May-2026 15:54:47,2.54 MB,True,,,106633707,Cigarettes,INE154A01025,ITC Limited,2026-05-21 15:54:46,ITC
21-May-2026 15:45:29,5.74 MB,https://nsearchives.nseindia.com/corporate/ITC_21052026154518_SE_Media_.pdf,ITC Limited has informed the Exchange about General Updates,,,General Updates,00:00:01,21052026154529,21-May-2026 15:45:30,5.74 MB,True,,,106633682,Cigarettes,INE154A01025,ITC Limited,2026-05-21 15:45:29,ITC
