an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
31-Aug-2026 16:35:06,252.73 KB,https://nsearchives.nseindia.com/corporate/jessydenny_31082026163434_Schedule_of_analysts_meeting.pdf,JSW Steel Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,31082026163506,31-Aug-2026 16:35:07,252.73 KB,True,,,106762458,Steel And Steel Products,INE019A01020,JSW Steel Limited,2026-08-31 16:35:06,JSWSTEEL
21-Aug-2026 19:45:24,829.54 KB,https://nsearchives.nseindia.com/corporate/Supriya_21082026194513_SEIntimationVotingResultsCCM.pdf,"JSW Steel Limited has submitted the Exchange a copy Srutinizers report of  Court Convened General Meeting held on August 21, 2026. Further, the company has informed the Exchange regarding voting results.",,,Shareholders meeting,00:00:01,21082026194524,21-Aug-2026 19:45:25,829.54 KB,True,,,106752962,Steel And Steel Products,INE019A01020,JSW Steel Limited,2026-08-21 19:45:24,JSWSTEEL
21-Aug-2026 19:33:54,288.06 KB,https://nsearchives.nseindia.com/corporate/Supriya_21082026193336_Proceedingsofccm_21082026___1___1___1_.pdf,"JSW Steel Limited has informed the Exchange regarding Proceedings of Court Convened General Meeting held on August 21, 2026",,,Shareholders meeting,00:00:01,21082026193354,21-Aug-2026 19:33:55,288.06 KB,True,,,106752945,Steel And Steel Products,INE019A01020,JSW Steel Limited,2026-08-21 19:33:54,JSWSTEEL
12-Aug-2026 13:11:25,191.42 KB,https://nsearchives.nseindia.com/corporate/jessydenny_12082026131109_analyst_presentation.pdf,JSW Steel Limited has informed the Exchange about Investor Presentation,,,Investor Presentation,00:00:01,12082026131125,12-Aug-2026 13:11:26,191.42 KB,True,,,106738687,Steel And Steel Products,INE019A01020,JSW Steel Limited,2026-08-12 13:11:25,JSWSTEEL
11-Aug-2026 11:14:16,214.26 KB,https://nsearchives.nseindia.com/corporate/jessydenny_11082026111344_analyst_meet.pdf,JSW Steel Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:00,11082026111416,11-Aug-2026 11:14:16,214.26 KB,True,,,106736140,Steel And Steel Products,INE019A01020,JSW Steel Limited,2026-08-11 11:14:16,JSWSTEEL
10-Aug-2026 17:12:57,522.30 KB,https://nsearchives.nseindia.com/corporate/jessydenny_10082026171247_Production_Press_Release_July_26.pdf,"JSW Steel Limited has informed the Exchange regarding a press release dated August 10, 2026, titled ""JSW Steel reports Consolidated Crude Steel Production of 24.02 Lakh Tonnesfor July 26"".",,,Press Release,00:00:01,10082026171257,10-Aug-2026 17:12:58,522.30 KB,True,,,106734767,Steel And Steel Products,INE019A01020,JSW Steel Limited,2026-08-10 17:12:57,JSWSTEEL
08-Aug-2026 00:56:41,33.19 KB,https://nsearchives.nseindia.com/corporate/JSWSTEEL_ROID_95553_KMP_Doc.zip,JSW Steel Limited has informed the Exchange about Resignation of Director/KMP/SMP,,,Resignation of Director/KMP/SMP,00:00:00,08082026005641,08-Aug-2026 00:56:41,33.19 KB,True,,,106732781,Steel And Steel Products,INE019A01020,JSW Steel Limited,2026-08-08 00:56:41,JSWSTEEL
07-Aug-2026 23:34:42,296.58 KB,https://nsearchives.nseindia.com/corporate/DivyaMascarenhas_07082026233427_JSWSLSEIntimationforChangeinSMPAugust72026.pdf,JSW Steel Limited has informed the Exchange about change in Senior Management,,,Change in Management,00:00:02,07082026233442,07-Aug-2026 23:34:44,296.58 KB,True,,,106732750,Steel And Steel Products,INE019A01020,JSW Steel Limited,2026-08-07 23:34:42,JSWSTEEL
04-Aug-2026 16:28:45,240.21 KB,https://nsearchives.nseindia.com/corporate/jessydenny_04082026162829_Schedule_of_analysts_meeting.pdf,JSW Steel Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,04082026162845,04-Aug-2026 16:28:46,240.21 KB,True,,,106724193,Steel And Steel Products,INE019A01020,JSW Steel Limited,2026-08-04 16:28:45,JSWSTEEL
01-Aug-2026 14:15:50,2.03 MB,https://nsearchives.nseindia.com/corporate/jessydenny_01082026141540_SE_Intimation_merger.pdf,Effectiveness of the Scheme of Amalgamation of Amba River Coke Limited and Monnet Cement Limited and JSW Retail and Distribution Limited with JSW Steel Limited  and their respective shareholders.,,,General Updates,00:00:02,01082026141550,01-Aug-2026 14:15:52,2.03 MB,True,,,106720696,Steel And Steel Products,INE019A01020,JSW Steel Limited,2026-08-01 14:15:50,JSWSTEEL
