an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
24-Aug-2026 21:31:42,178.60 KB,https://nsearchives.nseindia.com/corporate/KMBLTAB_24082026213058_EMTNUploading.pdf,Kotak Mahindra Bank Limited has informed the Exchange about General Updates.,,,General Updates,00:00:01,24082026213142,24-Aug-2026 21:31:43,178.60 KB,True,,,106754860,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-24 21:31:42,KOTAKBANK
24-Aug-2026 19:49:50,220.53 KB,https://nsearchives.nseindia.com/corporate/KMBLTAB_24082026194907_EMTNAllotment.pdf,Kotak Mahindra Bank Limited has informed the Exchange about General Updates.,,,General Updates,00:00:01,24082026194950,24-Aug-2026 19:49:51,220.53 KB,True,,,106754778,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-24 19:49:50,KOTAKBANK
22-Aug-2026 16:20:51,257.28 KB,https://nsearchives.nseindia.com/corporate/KOTAK_22082026162000_SEIntimationratingbyERIALAugust22.pdf,Kotak Mahindra Bank Limited has informed the Exchange about ESG Rating,,,General Updates,00:00:01,22082026162051,22-Aug-2026 16:20:52,257.28 KB,True,,,106753466,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-22 16:20:51,KOTAKBANK
21-Aug-2026 19:36:44,255.79 KB,https://nsearchives.nseindia.com/corporate/KMBLTAB_21082026193523_SEIntimationAnalystInvestorMeetAugust21.pdf,Kotak Mahindra Bank Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,21082026193644,21-Aug-2026 19:36:45,255.79 KB,True,,,106752949,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-21 19:36:44,KOTAKBANK
20-Aug-2026 18:23:22,257.90 KB,https://nsearchives.nseindia.com/corporate/Kotakmahindrabank_20082026181908_SEIntimationcreditratingemtnAugust20.pdf,Kotak Mahindra Bank Limited has informed the Exchange about Credit Rating,,,Credit Rating,00:00:01,20082026182322,20-Aug-2026 18:23:23,257.90 KB,True,,,106751335,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-20 18:23:22,KOTAKBANK
20-Aug-2026 15:19:04,257.92 KB,https://nsearchives.nseindia.com/corporate/KOTAK_20082026151802_SEIntimationrevisioninratingbycrisilAugust20.pdf,Kotak Mahindra Bank Limited has informed the Exchange about ESG rating,,,General Updates,00:00:01,20082026151904,20-Aug-2026 15:19:05,257.92 KB,True,,,106750946,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-20 15:19:04,KOTAKBANK
19-Aug-2026 16:22:06,259.21 KB,https://nsearchives.nseindia.com/corporate/KMBLTAB_19082026161921_SEIntESOPAllotment19082026.pdf,KOTAKBANK: Kotak Mahindra Bank Limited has informed the Exchange regarding Allotment of 285255 Shares.,,,ESOP/ESOS/ESPS,00:00:00,19082026162206,19-Aug-2026 16:22:06,259.21 KB,True,,,106749692,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-19 16:22:06,KOTAKBANK
18-Aug-2026 20:48:11,221.91 KB,https://nsearchives.nseindia.com/corporate/KMBLTAB_18082026204751_KotakEMTNStockExchangeIntimationonPricing18082026.pdf,Kotak Mahindra Bank Limited has informed the Exchange about General Updates,,,General Updates,00:00:01,18082026204811,18-Aug-2026 20:48:12,221.91 KB,True,,,106748871,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-18 20:48:11,KOTAKBANK
17-Aug-2026 18:51:07,261.00 KB,https://nsearchives.nseindia.com/corporate/KOTAK_17082026184755_SEIntimationESOPGrantAugust172026.pdf,Kotak Mahindra Bank Limited has informed the Exchange regarding Grant of 347410  Options.,,,ESOP/ESOS/ESPS,00:00:00,17082026185107,17-Aug-2026 18:51:07,261.00 KB,True,,,106747341,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-17 18:51:07,KOTAKBANK
17-Aug-2026 06:27:52,1.54 MB,https://nsearchives.nseindia.com/corporate/KOTAK_17082026062647_InvestorPresentation.pdf,Kotak Mahindra Bank Limited has informed the Exchange about Investor Presentation,,,Investor Presentation,00:00:01,17082026062752,17-Aug-2026 06:27:53,1.54 MB,True,,,106746371,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-17 06:27:52,KOTAKBANK
14-Aug-2026 22:27:05,177.27 KB,https://nsearchives.nseindia.com/corporate/KMBLTAB_14082026222656_EMTNCredit_Rating.pdf,Kotak Mahindra Bank Limited has informed the Exchange about Credit Rating.,,,Credit Rating- New,00:00:01,14082026222705,14-Aug-2026 22:27:06,177.27 KB,True,,,106745804,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-14 22:27:05,KOTAKBANK
14-Aug-2026 22:22:35,178.75 KB,https://nsearchives.nseindia.com/corporate/KMBLTAB_14082026222222_KotakEMTN.pdf,Kotak Mahindra Bank Limited has informed the Exchange about establishment of Euro Medium Term Note Programme.,,,General Updates,00:00:01,14082026222235,14-Aug-2026 22:22:36,178.75 KB,True,,,106745794,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-14 22:22:35,KOTAKBANK
13-Aug-2026 20:43:32,256.50 KB,https://nsearchives.nseindia.com/corporate/KMBLTAB_13082026203913_SEIntimationAnalystInvestorMeetAugust19.pdf,Kotak Mahindra Bank Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,13082026204332,13-Aug-2026 20:43:33,256.50 KB,True,,,106743049,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-13 20:43:32,KOTAKBANK
12-Aug-2026 20:22:55,204.00 KB,https://nsearchives.nseindia.com/corporate/KMBLTAB_12082026201040_StockExchangeIntimationInvestor_Meet12082025.pdf,Kotak Mahindra Bank Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,12082026202255,12-Aug-2026 20:22:56,204.00 KB,True,,,106740248,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-12 20:22:55,KOTAKBANK
01-Aug-2026 19:07:58,2.22 MB,https://nsearchives.nseindia.com/corporate/KMBLTAB_01082026190745_FINALFILE_Signed.pdf,"Scrutinizer's Report and Voting Results pursuant to Regulation 44(3) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015",,,Shareholders meeting,00:00:00,01082026190758,01-Aug-2026 19:07:58,2.22 MB,True,,,106721080,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-01 19:07:58,KOTAKBANK
01-Aug-2026 15:44:30,243.64 KB,https://nsearchives.nseindia.com/corporate/KMBLTAB_01082026154420_SEIntimationAGMProceedingsAugust012026.pdf,"Kotak Mahindra Bank Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on August 1, 2026",,,Shareholders meeting,00:00:01,01082026154430,01-Aug-2026 15:44:31,243.64 KB,True,,,106720803,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-01 15:44:30,KOTAKBANK
01-Aug-2026 14:34:17,446.41 KB,https://nsearchives.nseindia.com/corporate/KMBLTAB_01082026143332_SEINTIMATIONCHAIRMANSPEECH.pdf,Chairman Speech at the Forty-First Annual General Meeting of Kotak Mahindra Bank Limited,,,General Updates,00:00:01,01082026143417,01-Aug-2026 14:34:18,446.41 KB,True,,,106720717,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-08-01 14:34:17,KOTAKBANK
24-Jul-2026 18:19:21,255.94 KB,https://nsearchives.nseindia.com/corporate/KOTAK_24072026181759_Transcript.pdf,Kotak Mahindra Bank Limited has informed the Exchange about Transcript,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:00,24072026181921,24-Jul-2026 18:19:21,255.94 KB,True,,,106710179,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-07-24 18:19:21,KOTAKBANK
24-Jul-2026 15:01:10,4.36 MB,https://nsearchives.nseindia.com/corporate/KMBLTAB_24072026150042_SEIntimationNewspaperpublicationrelodgementoftransferrequestsJuly_2026.pdf,Newspaper Clipping - Special Window for Transfer and Dematerialisation of Physical Securities of the Bank,,,Copy of Newspaper Publication,00:00:01,24072026150110,24-Jul-2026 15:01:11,4.36 MB,True,,,106709676,Banks,INE237A01010,Kotak Mahindra Bank Limited,2026-07-24 15:01:10,KOTAKBANK
