an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
25-Aug-2026 09:34:05,1.33 MB,https://nsearchives.nseindia.com/corporate/PAM_25082026093347_PressRelease25082026.pdf,Larsen & Toubro Limited has informed the Exchange about Bagging/Receiving of orders/contracts,,,Bagging/Receiving of orders/contracts,00:00:01,25082026093405,25-Aug-2026 09:34:06,1.33 MB,True,,,106755163,Engineering,INE018A01030,Larsen & Toubro Limited,2026-08-25 09:34:05,LT
24-Aug-2026 09:39:46,1.30 MB,https://nsearchives.nseindia.com/corporate/PAM_24082026093929_PressRelease24082026.pdf,Larsen & Toubro Limited has informed the Exchange about Bagging/Receiving of orders/contracts,,,Bagging/Receiving of orders/contracts,00:00:01,24082026093946,24-Aug-2026 09:39:47,1.30 MB,True,,,106753790,Engineering,INE018A01030,Larsen & Toubro Limited,2026-08-24 09:39:46,LT
20-Aug-2026 10:05:54,3.30 MB,https://nsearchives.nseindia.com/corporate/PAM_20082026100532_Press_Release_Initmation_sgd.pdf,Larsen & Toubro Limited has informed the Exchange about Bagging/Receiving of orders/contracts,,,Bagging/Receiving of orders/contracts,00:00:01,20082026100554,20-Aug-2026 10:05:55,3.30 MB,True,,,106750535,Engineering,INE018A01030,Larsen & Toubro Limited,2026-08-20 10:05:54,LT
17-Aug-2026 11:36:22,658.73 KB,https://nsearchives.nseindia.com/corporate/Subhodh_17082026113557_SEIntimation_Pressrelease_17082026.pdf,Larsen & Toubro Limited has informed the Exchange about Bagging/Receiving of orders/contracts - L&T Secures Ultra-Mega* Order for Strategic Offshore Development Project in the Middle East,,,Bagging/Receiving of orders/contracts,00:00:01,17082026113622,17-Aug-2026 11:36:23,658.73 KB,True,,,106746612,Engineering,INE018A01030,Larsen & Toubro Limited,2026-08-17 11:36:22,LT
13-Aug-2026 11:29:24,1.30 MB,https://nsearchives.nseindia.com/corporate/PAM_13082026112910_PressRelease13082026.pdf,Larsen & Toubro Limited has informed the Exchange about Bagging/Receiving of orders/contracts,,,Bagging/Receiving of orders/contracts,00:00:00,13082026112924,13-Aug-2026 11:29:24,1.30 MB,True,,,106740951,Engineering,INE018A01030,Larsen & Toubro Limited,2026-08-13 11:29:24,LT
11-Aug-2026 15:58:55,1.43 MB,https://nsearchives.nseindia.com/corporate/PAM_11082026155835_Intimation11082026.pdf,"Larsen & Toubro Limited has informed the Exchange about Execution of Business Transfer Agreement with Vyoma.AI Limited (Vyoma), Wholly owned Subsidiary of the Company and execution of Share Purchase Agreement towards sale of entire stake held in L&T Network Services Private Limited to Vyoma",,,General Updates,00:00:01,11082026155855,11-Aug-2026 15:58:56,1.43 MB,True,,,106736706,Engineering,INE018A01030,Larsen & Toubro Limited,2026-08-11 15:58:55,LT
11-Aug-2026 14:06:34,1.32 MB,https://nsearchives.nseindia.com/corporate/PAM_11082026140555_NSEESGRating11082026.pdf,Larsen & Toubro Limited has informed the Exchange about ESG Credit Rating,,,General Updates,00:00:01,11082026140634,11-Aug-2026 14:06:35,1.32 MB,True,,,106736461,Engineering,INE018A01030,Larsen & Toubro Limited,2026-08-11 14:06:34,LT
07-Aug-2026 12:53:50,3.24 MB,https://nsearchives.nseindia.com/corporate/PAM_07082026125329_PressRelease07082026.pdf,Larsen & Toubro Limited has informed the Exchange about Bagging/Receiving of orders/contracts,,,Bagging/Receiving of orders/contracts,00:00:00,07082026125350,07-Aug-2026 12:53:50,3.24 MB,True,,,106730719,Engineering,INE018A01030,Larsen & Toubro Limited,2026-08-07 12:53:50,LT
06-Aug-2026 19:06:00,24.46 MB,https://nsearchives.nseindia.com/corporate/PAM_06082026190416_Reply06082026.pdf,Larsen & Toubro Limited has informed the Exchange regarding 're-filing of announcement in machine readable format'.,,,Updates,00:00:02,06082026190600,06-Aug-2026 19:06:02,24.46 MB,True,,,106729541,Engineering,INE018A01030,Larsen & Toubro Limited,2026-08-06 19:06:00,LT
06-Aug-2026 13:44:45,3.11 MB,https://nsearchives.nseindia.com/corporate/PAM_06082026134416_Intimation06082026.pdf,Larsen & Toubro Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,06082026134445,06-Aug-2026 13:44:46,3.11 MB,True,,,106728390,Engineering,INE018A01030,Larsen & Toubro Limited,2026-08-06 13:44:45,LT
04-Aug-2026 19:50:21,3.94 MB,https://nsearchives.nseindia.com/corporate/PAM_04082026195008_OutcomeNCLTConvenedMeeting04082026_1.pdf,"Larsen & Toubro Limited has informed the Exchange about Scheme of Arrangement - Summary of Proceedings, Voting Results and Scrutinizer's Report of the NCLT convened meeting of equity shareholders of the Company held on August 4, 2026",,,Scheme of Arrangement,00:00:02,04082026195021,04-Aug-2026 19:50:23,3.94 MB,True,,,106725069,Engineering,INE018A01030,Larsen & Toubro Limited,2026-08-04 19:50:21,LT
04-Aug-2026 19:47:27,3.94 MB,https://nsearchives.nseindia.com/corporate/PAM_04082026194655_OutcomeNCLTConvenedMeeting04082026_1.pdf,"Larsen & Toubro Limited has informed the Exchange regarding Proceedings of NCLT Convened Meeting held on August 04, 2026. Further, the company has submitted the Exchange a copy of Srutinizers report along with voting results.",,,Shareholders meeting,00:00:01,04082026194727,04-Aug-2026 19:47:28,3.94 MB,True,,,106725057,Engineering,INE018A01030,Larsen & Toubro Limited,2026-08-04 19:47:27,LT
