an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
31-Aug-2026 13:20:00,3.10 MB,https://nsearchives.nseindia.com/corporate/MARUTI_31082026131802_Proceedings_of_45thAGM.pdf,Maruti Suzuki India Limited has informed the Exchange about Shareholders meeting,,,Shareholders meeting,00:00:01,31082026132000,31-Aug-2026 13:20:01,3.10 MB,True,,,106762171,Automobiles - 4 Wheelers,INE585B01010,Maruti Suzuki India Limited,2026-08-31 13:20:00,MARUTI
14-Aug-2026 12:12:33,2.52 MB,https://nsearchives.nseindia.com/corporate/MARUTI_14082026120414_Newspaper_Intimation_14082026.pdf,Maruti Suzuki India Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:02,14082026121233,14-Aug-2026 12:12:35,2.52 MB,True,,,106743771,Automobiles - 4 Wheelers,INE585B01010,Maruti Suzuki India Limited,2026-08-14 12:12:33,MARUTI
09-Aug-2026 11:08:01,2.26 MB,https://nsearchives.nseindia.com/corporate/MARUTIASHISH_09082026110710_STxIntimation_NP_9Aug2026.pdf,Maruti Suzuki India Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:01,09082026110801,09-Aug-2026 11:08:02,2.26 MB,True,,,106733607,Automobiles - 4 Wheelers,INE585B01010,Maruti Suzuki India Limited,2026-08-09 11:08:01,MARUTI
08-Aug-2026 22:11:06,512.26 KB,https://nsearchives.nseindia.com/corporate/MARUTIASHISH_08082026220927_STxIntimation_PR_8Aug2026.pdf,"Maruti Suzuki India Limited has informed the Exchange regarding a press release dated August 08, 2026, titled ""Maruti Suzuki Annual Integrated Report 2025-26 The Next Million, New Momentum: Every Engine of Growth in Motion"".",,,Press Release,00:00:01,08082026221106,08-Aug-2026 22:11:07,512.26 KB,True,,,106733553,Automobiles - 4 Wheelers,INE585B01010,Maruti Suzuki India Limited,2026-08-08 22:11:06,MARUTI
08-Aug-2026 21:46:00,529.08 KB,https://nsearchives.nseindia.com/corporate/MARUTIASHISH_08082026214409_STxIntimation_WebLink.pdf,Maruti Suzuki India Limited has informed the Exchange about Issuance of letter providing Web-link of the Annual Report for the financial year 2025-26,,,General Updates,00:00:01,08082026214600,08-Aug-2026 21:46:01,529.08 KB,True,,,106733548,Automobiles - 4 Wheelers,INE585B01010,Maruti Suzuki India Limited,2026-08-08 21:46:00,MARUTI
08-Aug-2026 21:38:43,763.59 KB,https://nsearchives.nseindia.com/corporate/MARUTIASHISH_08082026213558_STxIntimation_BRSR_8Aug2026.pdf,Maruti Suzuki India Limited has informed the Exchange about Business Responsibility and Sustainability Report (BRSR) for the financial year 2025-26,,,General Updates,00:00:01,08082026213843,08-Aug-2026 21:38:44,763.59 KB,True,,,106733547,Automobiles - 4 Wheelers,INE585B01010,Maruti Suzuki India Limited,2026-08-08 21:38:43,MARUTI
08-Aug-2026 21:20:29,18.44 MB,https://nsearchives.nseindia.com/corporate/MARUTIASHISH_08082026211830_STxIntimation_AGMNotice_AR2026_8Aug2026.pdf,Maruti Suzuki India Limited has informed the Exchange about Shareholders meeting,,,Shareholders meeting,00:00:01,08082026212029,08-Aug-2026 21:20:30,18.44 MB,True,,,106733541,Automobiles - 4 Wheelers,INE585B01010,Maruti Suzuki India Limited,2026-08-08 21:20:29,MARUTI
06-Aug-2026 17:32:57,1.46 MB,https://nsearchives.nseindia.com/corporate/MARUTIASHISH_06082026173039_STxIntimation_Transcript_6Aug2026.pdf,Maruti Suzuki India Limited has informed the Exchange about Transcript,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:00,06082026173257,06-Aug-2026 17:32:57,1.46 MB,True,,,106729066,Automobiles - 4 Wheelers,INE585B01010,Maruti Suzuki India Limited,2026-08-06 17:32:57,MARUTI
05-Aug-2026 11:48:36,1.51 MB,https://nsearchives.nseindia.com/corporate/MARUTIASHISH_05082026114206_SMC_ConsolidatedResults_5August2026.pdf,Maruti Suzuki India Limited has informed the Exchange about Reference to the Consolidated financial results issued by Suzuki Motor Corporation in Japan,,,General Updates,00:00:01,05082026114836,05-Aug-2026 11:48:37,1.51 MB,True,,,106725791,Automobiles - 4 Wheelers,INE585B01010,Maruti Suzuki India Limited,2026-08-05 11:48:36,MARUTI
01-Aug-2026 17:14:05,445.93 KB,https://nsearchives.nseindia.com/corporate/MARUTIASHISH_01082026171243_STxIntimation_Prod_July2026.pdf,Maruti Suzuki India Limited has informed the Exchange about Maruti Suzuki Production Volume: July 2026,,,General Updates,00:00:02,01082026171405,01-Aug-2026 17:14:07,445.93 KB,True,,,106720942,Automobiles - 4 Wheelers,INE585B01010,Maruti Suzuki India Limited,2026-08-01 17:14:05,MARUTI
01-Aug-2026 13:39:31,401.74 KB,https://nsearchives.nseindia.com/corporate/MARUTIASHISH_01082026133250_STxIntimation_Sales_July2026.pdf,"Maruti Suzuki India Limited has informed the Exchange regarding a press release dated August 01, 2026, titled ""Maruti Suzuki sales in July 2026"".",,,Press Release,00:00:01,01082026133931,01-Aug-2026 13:39:32,401.74 KB,True,,,106720652,Automobiles - 4 Wheelers,INE585B01010,Maruti Suzuki India Limited,2026-08-01 13:39:31,MARUTI
01-Aug-2026 11:13:36,1.60 MB,https://nsearchives.nseindia.com/corporate/MARUTIASHISH_01082026111236_STxIntimation_NP_1Aug2026.pdf,Maruti Suzuki India Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:00,01082026111336,01-Aug-2026 11:13:36,1.60 MB,True,,,106720507,Automobiles - 4 Wheelers,INE585B01010,Maruti Suzuki India Limited,2026-08-01 11:13:36,MARUTI
31-Jul-2026 22:34:31,243.35 KB,https://nsearchives.nseindia.com/corporate/MARUTIASHISH_31072026222949_STxIntimation_AudioRecording_31July2026.pdf,Maruti Suzuki India Limited has informed the Exchange about Audio recording of the investors' call held on 31st July 2026.,,,General Updates,00:00:00,31072026223431,31-Jul-2026 22:34:31,243.35 KB,True,,,106720264,Automobiles - 4 Wheelers,INE585B01010,Maruti Suzuki India Limited,2026-07-31 22:34:31,MARUTI
31-Jul-2026 16:58:56,577.59 KB,https://nsearchives.nseindia.com/corporate/MARUTI_31072026165807_STxIntimation_InvestorPresentation_Q1_FY2026_27.pdf,Maruti Suzuki India Limited has informed the Exchange about Investor Presentation,,,Investor Presentation,00:00:01,31072026165856,31-Jul-2026 16:58:57,577.59 KB,True,,,106719378,Automobiles - 4 Wheelers,INE585B01010,Maruti Suzuki India Limited,2026-07-31 16:58:56,MARUTI
31-Jul-2026 16:50:56,387.35 KB,https://nsearchives.nseindia.com/corporate/MARUTI_31072026164958_STxIntimation_PressRelease_Results_Q1_FY2026_27.pdf,"Maruti Suzuki India Limited has informed the Exchange regarding a press release dated July 31, 2026, titled ""Maruti Suzuki announces Financial Results for Quarter 1 (April-June), FY 2026-27.""",,,Press Release,00:00:01,31072026165056,31-Jul-2026 16:50:57,387.35 KB,True,,,106719354,Automobiles - 4 Wheelers,INE585B01010,Maruti Suzuki India Limited,2026-07-31 16:50:56,MARUTI
31-Jul-2026 16:39:44,10.76 MB,https://nsearchives.nseindia.com/corporate/MARUTI_31072026163813_QuickResults_Q1_FY2026_27.pdf,"Maruti Suzuki India Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2026.",,,Outcome of Board Meeting,00:00:01,31072026163944,31-Jul-2026 16:39:45,10.76 MB,True,,,106719319,Automobiles - 4 Wheelers,INE585B01010,Maruti Suzuki India Limited,2026-07-31 16:39:44,MARUTI
