an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
31-Aug-2026 18:46:29,192.64 KB,https://nsearchives.nseindia.com/corporate/NESTLEIND1_31082026184556_InstitutionalInvestorMeetOutcome_31August2026signed.pdf,Nestle India Limited has informed the Exchange about Update on a one-on-one meet with an institutional investor held on 31st August 2026,,,General Updates,00:00:02,31082026184629,31-Aug-2026 18:46:31,192.64 KB,True,,,106762934,Food And Food Processing,INE239A01016,Nestle India Limited,2026-08-31 18:46:29,NESTLEIND
27-Aug-2026 23:04:02,244.55 KB,https://nsearchives.nseindia.com/corporate/NESTLEIND1_27082026230335_NILDisclosuretotheSTXsigned.pdf,Nestle India Limited has informed the Exchange about Execution of Share Subscription and Shareholders  Agreement on 27th August 2026,,,Acquisition,00:00:01,27082026230402,27-Aug-2026 23:04:03,244.55 KB,True,,,106759855,Food And Food Processing,INE239A01016,Nestle India Limited,2026-08-27 23:04:02,NESTLEIND
26-Aug-2026 18:19:42,225.53 KB,https://nsearchives.nseindia.com/corporate/NESTLEIND1_26082026181858_STXIntimationCustomOrder26082026signed.pdf,"Nestle India Limited has informed the Exchange about Intimation regarding receipt of an Order from the Office of the Principal Commissioner of Customs, Mundra Port, Kutch, Gujarat   370 421",,,Action(s) taken or orders passed,00:00:01,26082026181942,26-Aug-2026 18:19:43,225.53 KB,True,,,106757760,Food And Food Processing,INE239A01016,Nestle India Limited,2026-08-26 18:19:42,NESTLEIND
26-Aug-2026 11:41:28,226.46 KB,https://nsearchives.nseindia.com/corporate/NESTLEIND1_26082026113941_STXIntimationVATOrder26082026signed.pdf,"Nestle India Limited has informed the Exchange about intimation regarding receipt of an Order from the Office of the Principal Commissioner of Customs Air Cargo Complex (Import), New Customs House, Near IGI Airport, New Delhi   110 037",,,Action(s) taken or orders passed,00:00:01,26082026114128,26-Aug-2026 11:41:29,226.46 KB,True,,,106756971,Food And Food Processing,INE239A01016,Nestle India Limited,2026-08-26 11:41:28,NESTLEIND
24-Aug-2026 18:06:29,228.70 KB,https://nsearchives.nseindia.com/corporate/NESTLEIND1_24082026180550_InstitutionalInvestorMeet31Aug2026signed.pdf,Nestle India Limited has informed the Exchange about Intimation of a one-on-one meet with an institutional investor schedule for 31st August 2026,,,General Updates,00:00:01,24082026180629,24-Aug-2026 18:06:30,228.70 KB,True,,,106754537,Food And Food Processing,INE239A01016,Nestle India Limited,2026-08-24 18:06:29,NESTLEIND
12-Aug-2026 17:18:07,673.88 KB,https://nsearchives.nseindia.com/corporate/NESTLEIND1_12082026171718_NewspaperAdvt12082026signed.pdf,Nestle India Limited has informed the Exchange regarding 'Newspaper advertisement   Public Notice regarding intimation to the shareholders aboutopening of another Special Window by SEBI for Transfer and Dematerialisation of PhysicalSecurities'.,,,Updates,00:00:01,12082026171807,12-Aug-2026 17:18:08,673.88 KB,True,,,106739379,Food And Food Processing,INE239A01016,Nestle India Limited,2026-08-12 17:18:07,NESTLEIND
07-Aug-2026 17:23:13,540.75 KB,https://nsearchives.nseindia.com/corporate/NESTLEIND1_07082026172157_TranscriptofAnalystandInstitutionalInvestorsMeet04082026signed.pdf,Nestle India Limited has informed the Exchange about Transcript of analyst and institutional investors meet (virtual) held on 4th August 2026,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:02,07082026172313,07-Aug-2026 17:23:15,540.75 KB,True,,,106731596,Food And Food Processing,INE239A01016,Nestle India Limited,2026-08-07 17:23:13,NESTLEIND
04-Aug-2026 19:06:54,229.75 KB,https://nsearchives.nseindia.com/corporate/NESTLEIND1_04082026185533_RecordingofAnalystandInstitutionalInvestorsMeet04082026signed.pdf,Nestle India Limited has informed the Exchange about Update on analyst/ institutional investors meet (virtual) convened on 04.08.2026,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,04082026190654,04-Aug-2026 19:06:55,229.75 KB,True,,,106724903,Food And Food Processing,INE239A01016,Nestle India Limited,2026-08-04 19:06:54,NESTLEIND
04-Aug-2026 13:23:32,5.34 MB,https://nsearchives.nseindia.com/corporate/NESTLEIND1_04082026132313_PresentationforAnalystandInstitutionalInvestorsMeet04082026signed.pdf,Nestle India Limited has informed the Exchange about Investor Presentation,,,Investor Presentation,00:00:01,04082026132332,04-Aug-2026 13:23:33,5.34 MB,True,,,106723666,Food And Food Processing,INE239A01016,Nestle India Limited,2026-08-04 13:23:32,NESTLEIND
30-Jul-2026 18:01:53,469.54 KB,https://nsearchives.nseindia.com/corporate/NESTLEIND1_30072026180107_67thAGMminutessigned.pdf,"Nestle India Limited has informed the Exchange with copy of detailed proceedings of the 67th Annual General Meeting ( 67th AGM ) of the Company held on Friday, 3rd July 2026",,,Shareholders meeting,00:00:01,30072026180153,30-Jul-2026 18:01:54,469.54 KB,True,,,106717628,Food And Food Processing,INE239A01016,Nestle India Limited,2026-07-30 18:01:53,NESTLEIND
