an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
31-Aug-2026 13:03:11,218.01 KB,https://nsearchives.nseindia.com/corporate/NTPC_31082026130255_20260831_Cessation_of_Senior_Management.pdf,NTPC Limited has informed the Exchange about change in Management,,,Change in Management,00:00:02,31082026130311,31-Aug-2026 13:03:13,218.01 KB,True,,,106762151,Power,INE733E01010,NTPC Limited,2026-08-31 13:03:11,NTPC
27-Aug-2026 18:54:22,1.08 MB,https://nsearchives.nseindia.com/corporate/NTPC_27082026185404_20260827_Voting_Results_AGM.pdf,"NTPC Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on August 27, 2026. Further, the company has informed the Exchange regarding voting results.",,,Shareholders meeting,00:00:00,27082026185422,27-Aug-2026 18:54:22,1.08 MB,True,,,106759478,Power,INE733E01010,NTPC Limited,2026-08-27 18:54:22,NTPC
27-Aug-2026 18:37:19,975.11 KB,https://nsearchives.nseindia.com/corporate/NTPC_27082026183711_20260827_PROCEEDINGSOFAGM.pdf,"NTPC Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on August 27, 2026",,,Shareholders meeting,00:00:01,27082026183719,27-Aug-2026 18:37:20,975.11 KB,True,,,106759423,Power,INE733E01010,NTPC Limited,2026-08-27 18:37:19,NTPC
26-Aug-2026 13:42:03,218.36 KB,https://nsearchives.nseindia.com/corporate/NTPC_26082026134145_20260826_Reg30_fine_sop.pdf,NTPC Limited has informed the Exchange about Action(s) taken or orders passed,,,Action(s) taken or orders passed,00:00:01,26082026134203,26-Aug-2026 13:42:04,218.36 KB,True,,,106757207,Power,INE733E01010,NTPC Limited,2026-08-26 13:42:03,NTPC
07-Aug-2026 15:23:06,2.63 MB,https://nsearchives.nseindia.com/corporate/NTPC_07082026152251_20260807_NEWSPAPER_STEX_TRANSFEROFSHARES.pdf,NTPC Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:00,07082026152306,07-Aug-2026 15:23:06,2.63 MB,True,,,106731122,Power,INE733E01010,NTPC Limited,2026-08-07 15:23:06,NTPC
05-Aug-2026 16:07:29,8.57 MB,https://nsearchives.nseindia.com/corporate/NTPC_05082026160704_20260805_STEX_NEWSPAPER.pdf,NTPC Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:02,05082026160729,05-Aug-2026 16:07:31,8.57 MB,True,,,106726448,Power,INE733E01010,NTPC Limited,2026-08-05 16:07:29,NTPC
04-Aug-2026 18:55:49,1.95 MB,https://nsearchives.nseindia.com/corporate/NTPC_04082026185539_20260804_STEX_INTIMATIONBRSR_Signed.pdf,NTPC Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Reporting for the Financial Year 2025-26'.,,,Updates,00:00:01,04082026185549,04-Aug-2026 18:55:50,1.95 MB,True,,,106724839,Power,INE733E01010,NTPC Limited,2026-08-04 18:55:49,NTPC
04-Aug-2026 18:44:47,26.24 MB,https://nsearchives.nseindia.com/corporate/NTPC_04082026184413_20260804_STEX_Intimation_of_AGM_and_Annual_Report_Signed.pdf,"NTPC Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 27, 2026",,,Shareholders meeting,00:00:01,04082026184447,04-Aug-2026 18:44:48,26.24 MB,True,,,106724780,Power,INE733E01010,NTPC Limited,2026-08-04 18:44:47,NTPC
02-Aug-2026 15:20:42,3.16 MB,https://nsearchives.nseindia.com/corporate/9425178051_02082026151004_6__Disclosure_for_Transcript_of_Investor_Presentation_Final.pdf,NTPC Limited has informed the Exchange about Transcript,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:02,02082026152042,02-Aug-2026 15:20:44,3.16 MB,True,,,106721247,Power,INE733E01010,NTPC Limited,2026-08-02 15:20:42,NTPC
31-Jul-2026 10:45:46,807.88 KB,https://nsearchives.nseindia.com/corporate/NTPC_31072026104537_20260731_CESSATIONOFSM_STEX.pdf,NTPC Limited has informed the Exchange about change in Management,,,Change in Management,00:00:01,31072026104546,31-Jul-2026 10:45:47,807.88 KB,True,,,106718580,Power,INE733E01010,NTPC Limited,2026-07-31 10:45:46,NTPC
29-Jul-2026 19:05:33,1.27 MB,https://nsearchives.nseindia.com/corporate/NTPC_29072026190525_20260729_NGELCOD_STEX.pdf,"NTPC Limited has informed the Exchange regarding 'Declaration of COD of third part capacity of 50 MW Solar Capacity out of cumulative 150 MW Solar component, as part of 100 MW RE Round The Clock (RTC) project capacity located in Rajasthan, by a group company of NGEL'.",,,Updates,00:00:01,29072026190533,29-Jul-2026 19:05:34,1.27 MB,True,,,106715977,Power,INE733E01010,NTPC Limited,2026-07-29 19:05:33,NTPC
28-Jul-2026 17:18:29,216.93 KB,https://nsearchives.nseindia.com/corporate/NTPC_28072026171804_20260728_CMD_REAPPOINTMENT_STEX.pdf,NTPC Limited has informed the Exchange about the extension of tenure of the Chairman & Managing Director of NTPC Limited,,,General Updates,00:00:01,28072026171829,28-Jul-2026 17:18:30,216.93 KB,True,,,106713854,Power,INE733E01010,NTPC Limited,2026-07-28 17:18:29,NTPC
28-Jul-2026 16:58:15,4.20 MB,https://nsearchives.nseindia.com/corporate/NTPC_28072026165808_20260728_STEX_NEWSPAPERADVERTISEMENT.pdf,NTPC Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:01,28072026165815,28-Jul-2026 16:58:16,4.20 MB,True,,,106713801,Power,INE733E01010,NTPC Limited,2026-07-28 16:58:15,NTPC
27-Jul-2026 19:13:28,3.10 MB,https://nsearchives.nseindia.com/corporate/9425178051_27072026191217_5_Disclosure_for_recording_of_Investor_Presentation.pdf,NTPC Limited has informed the Exchange about Link of Recording,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,27072026191328,27-Jul-2026 19:13:29,3.10 MB,True,,,106712478,Power,INE733E01010,NTPC Limited,2026-07-27 19:13:28,NTPC
27-Jul-2026 18:43:46,641.92 KB,https://nsearchives.nseindia.com/corporate/NTPC_27072026184319_20260727_Intimation_of_Record_Date.pdf,NTPC Limited has informed the Exchange that Record date for the purpose of Dividend  is 02-Sep-2026.,,,Record Date,00:00:01,27072026184346,27-Jul-2026 18:43:47,641.92 KB,True,,,106712382,Power,INE733E01010,NTPC Limited,2026-07-27 18:43:46,NTPC
