an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
31-Aug-2026 19:06:46,291.46 KB,https://nsearchives.nseindia.com/corporate/POWERGRID1_31082026190632_BSENSEReg30dt31082026_signed.pdf,Power Grid Corporation of India Limited has informed the Exchange about Change in Senior Management (Cessation).,,,Change in Management,00:00:01,31082026190646,31-Aug-2026 19:06:47,291.46 KB,True,,,106763008,Power,INE752E01010,Power Grid Corporation of India Limited,2026-08-31 19:06:46,POWERGRID
28-Aug-2026 18:16:18,323.82 KB,https://nsearchives.nseindia.com/corporate/POWERGRID1_28082026181534_BSENSEReg30dt28082026Acq_v1.pdf,Power Grid Corporation of India Limited has informed the Exchange about Acquisition of Fatehgarh II Transmission Limited by POWERGRID under TBCB route.,,,Acquisition,00:00:01,28082026181618,28-Aug-2026 18:16:19,323.82 KB,True,,,106760714,Power,INE752E01010,Power Grid Corporation of India Limited,2026-08-28 18:16:18,POWERGRID
26-Aug-2026 16:56:03,831.48 KB,https://nsearchives.nseindia.com/corporate/POWERGRID1_26082026165553_BSENSEReg30dt26082026_v1.pdf,"Power Grid Corporation of India Limited has informed the Exchange about Disclosure under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",,,General Updates,00:00:01,26082026165603,26-Aug-2026 16:56:04,831.48 KB,True,,,106757528,Power,INE752E01010,Power Grid Corporation of India Limited,2026-08-26 16:56:03,POWERGRID
21-Aug-2026 21:49:27,4.63 MB,https://nsearchives.nseindia.com/corporate/POWERGRID1_21082026214804_BSENSEREG30.pdf,"Power Grid Corporation of India Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on August 20, 2026. Further, the company has informed the Exchange regarding voting results.",,,Shareholders meeting,00:00:01,21082026214927,21-Aug-2026 21:49:28,4.63 MB,True,,,106753058,Power,INE752E01010,Power Grid Corporation of India Limited,2026-08-21 21:49:27,POWERGRID
21-Aug-2026 21:35:56,293.60 KB,https://nsearchives.nseindia.com/corporate/POWERGRID1_21082026213546_BSENSE_LOI.pdf,Power Grid Corporation of India Limited has informed the Exchange about POWERGRID declared as successful bidder under TBCB.,,,General Updates,00:00:01,21082026213556,21-Aug-2026 21:35:57,293.60 KB,True,,,106753052,Power,INE752E01010,Power Grid Corporation of India Limited,2026-08-21 21:35:56,POWERGRID
20-Aug-2026 18:29:36,447.90 KB,https://nsearchives.nseindia.com/corporate/POWERGRID1_20082026182923_BSENSEReg30dt20082026Outcome.pdf,"Power Grid Corporation of India Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on August 20, 2026",,,Shareholders meeting,00:00:01,20082026182936,20-Aug-2026 18:29:37,447.90 KB,True,,,106751353,Power,INE752E01010,Power Grid Corporation of India Limited,2026-08-20 18:29:36,POWERGRID
20-Aug-2026 13:43:21,1.74 MB,https://nsearchives.nseindia.com/corporate/POWERGRID1_20082026134236_BSENSEReg30dt20082026Outcome.pdf,"Power Grid Corporation of India Limited has informed the Exchange regarding Cessation of Mr Venkata Subrahamanayam Vallurie as Chief Financial Officer of the company w.e.f. August 20, 2026.",,,Cessation,00:00:01,20082026134321,20-Aug-2026 13:43:22,1.74 MB,True,,,106750843,Power,INE752E01010,Power Grid Corporation of India Limited,2026-08-20 13:43:21,POWERGRID
20-Aug-2026 13:33:04,1.74 MB,https://nsearchives.nseindia.com/corporate/POWERGRID1_20082026133050_BSENSEReg30dt20082026Outcome.pdf,"Power Grid Corporation of India Limited has informed the Exchange regarding Outcome of Board Meeting held on August 20, 2026.",,,Outcome of Board Meeting,00:00:01,20082026133304,20-Aug-2026 13:33:05,1.74 MB,True,,,106750828,Power,INE752E01010,Power Grid Corporation of India Limited,2026-08-20 13:33:04,POWERGRID
18-Aug-2026 15:43:10,591.47 KB,https://nsearchives.nseindia.com/corporate/POWERGRID1_18082026154055_BSENSEReg30dt18082026.pdf,"Power Grid Corporation of India Limited has informed the Exchange regarding Appointment of Mr Amol Babulal Taori as Director (Finance) of the company w.e.f. August 18, 2026.",,,Appointment,00:00:01,18082026154310,18-Aug-2026 15:43:11,591.47 KB,True,,,106748308,Power,INE752E01010,Power Grid Corporation of India Limited,2026-08-18 15:43:10,POWERGRID
18-Aug-2026 15:37:29,591.47 KB,https://nsearchives.nseindia.com/corporate/POWERGRID1_18082026153656_BSENSEReg30dt18082026.pdf,"Power Grid Corporation of India Limited has informed the Exchange regarding Outcome of Board Meeting held on August 18, 2026.",,,Outcome of Board Meeting,00:00:02,18082026153729,18-Aug-2026 15:37:31,591.47 KB,True,,,106748296,Power,INE752E01010,Power Grid Corporation of India Limited,2026-08-18 15:37:29,POWERGRID
