an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
26-Aug-2026 22:38:11,3.13 MB,https://nsearchives.nseindia.com/corporate/SBILIFE_26082026223758_SE26082026_signed.pdf,SBI Life Insurance Company Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,26082026223811,26-Aug-2026 22:38:12,3.13 MB,True,,,106758129,,INE123W01016,SBI Life Insurance Company Limited,2026-08-26 22:38:11,SBILIFE
23-Aug-2026 15:03:58,3.08 MB,https://nsearchives.nseindia.com/corporate/SBILIFE_23082026150341_SE23082026_signed.pdf,SBI Life Insurance Company Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,23082026150358,23-Aug-2026 15:03:59,3.08 MB,True,,,106753679,,INE123W01016,SBI Life Insurance Company Limited,2026-08-23 15:03:58,SBILIFE
19-Aug-2026 19:43:47,3.14 MB,https://nsearchives.nseindia.com/corporate/SBILIFE_19082026194302_SENS19082026_signed.pdf,SBI Life Insurance Company Limited has informed the Exchange regarding Change in Director(s) of the company.,,,Change in Director(s),00:00:01,19082026194347,19-Aug-2026 19:43:48,3.14 MB,True,,,106750145,,INE123W01016,SBI Life Insurance Company Limited,2026-08-19 19:43:47,SBILIFE
18-Aug-2026 22:30:16,3.11 MB,https://nsearchives.nseindia.com/corporate/SBILIFE_18082026223000_SE_18082026_signed.pdf,"SBI Life Insurance Company Limited has informed the Exchange regarding of Allotment 88522 equity shares pursuant to ESOP through Circular resolution of the Board Stakeholders' Relationship and Sustainability Committee passed on August 18, 2026.",,,ESOP/ESOS/ESPS,00:00:01,18082026223016,18-Aug-2026 22:30:17,3.11 MB,True,,,106748915,,INE123W01016,SBI Life Insurance Company Limited,2026-08-18 22:30:16,SBILIFE
14-Aug-2026 23:48:50,23.07 MB,https://nsearchives.nseindia.com/corporate/SBILIFE_14082026234831_SE14082026AGM2026VR_signed.pdf,"SBI Life Insurance Company Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on August 14, 2026. Further, the company has informed the Exchange regarding voting results.",,,Shareholders meeting,00:00:01,14082026234850,14-Aug-2026 23:48:51,23.07 MB,True,,,106746003,,INE123W01016,SBI Life Insurance Company Limited,2026-08-14 23:48:50,SBILIFE
14-Aug-2026 23:42:12,3.07 MB,https://nsearchives.nseindia.com/corporate/SBILIFE_14082026234139_SE14082026AGMPr2026_signed.pdf,"SBI Life Insurance Company Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on August 14, 2026",,,Shareholders meeting,00:00:01,14082026234212,14-Aug-2026 23:42:13,3.07 MB,True,,,106746000,,INE123W01016,SBI Life Insurance Company Limited,2026-08-14 23:42:12,SBILIFE
08-Aug-2026 15:21:17,3.05 MB,https://nsearchives.nseindia.com/corporate/SBILIFE_08082026152034_SE08082026-signed.pdf,SBI Life Insurance Company Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:00,08082026152117,08-Aug-2026 15:21:17,3.05 MB,True,,,106733071,,INE123W01016,SBI Life Insurance Company Limited,2026-08-08 15:21:17,SBILIFE
30-Jul-2026 18:53:10,3.23 MB,https://nsearchives.nseindia.com/corporate/SBILIFE_30072026185215_SE30072025_signed.pdf,SBI Life Insurance Company Limited has informed the Exchange about Transcript,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,30072026185310,30-Jul-2026 18:53:11,3.23 MB,True,,,106717834,,INE123W01016,SBI Life Insurance Company Limited,2026-07-30 18:53:10,SBILIFE
24-Jul-2026 20:39:53,3.00 MB,https://nsearchives.nseindia.com/corporate/SBILIFE_24072026203935_AR24072026_signed.pdf,SBI Life Insurance Company Limited has informed the Exchange about Link of Recording,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,24072026203953,24-Jul-2026 20:39:54,3.00 MB,True,,,106710484,,INE123W01016,SBI Life Insurance Company Limited,2026-07-24 20:39:53,SBILIFE
24-Jul-2026 15:11:22,6.14 MB,https://nsearchives.nseindia.com/corporate/SBILIFE_24072026151109_SEPostN24072026_signed.pdf,SBI Life Insurance Company Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:01,24072026151122,24-Jul-2026 15:11:23,6.14 MB,True,,,106709688,,INE123W01016,SBI Life Insurance Company Limited,2026-07-24 15:11:22,SBILIFE
