an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
29-Aug-2026 14:48:53,6.52 MB,https://nsearchives.nseindia.com/corporate/Mathew_29082026144836_BSENSE2982026_Upload.pdf,Shriram Finance Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:01,29082026144853,29-Aug-2026 14:48:54,6.52 MB,True,,,106761307,,INE721A01013,Shriram Finance Limited,2026-08-29 14:48:53,SHRIRAMFIN
27-Aug-2026 12:56:12,555.09 KB,https://nsearchives.nseindia.com/corporate/Mathew_27082026125220_Analyst_Meet_02nd_September__Elara_Capital_.pdf,Shriram Finance Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:02,27082026125612,27-Aug-2026 12:56:14,555.09 KB,True,,,106758661,,INE721A01013,Shriram Finance Limited,2026-08-27 12:56:12,SHRIRAMFIN
25-Aug-2026 12:35:48,304.85 KB,https://nsearchives.nseindia.com/corporate/Mathew_25082026123538_Analyst_Meeting_25082026.pdf,Shriram Finance Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,25082026123548,25-Aug-2026 12:35:49,304.85 KB,True,,,106755463,,INE721A01013,Shriram Finance Limited,2026-08-25 12:35:48,SHRIRAMFIN
21-Aug-2026 21:15:19,886.21 KB,https://nsearchives.nseindia.com/corporate/Mathew_21082026211416_BSENSE_2182026_74-5_Upload.pdf,"Shriram Finance Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",,,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",00:00:01,21082026211519,21-Aug-2026 21:15:20,886.21 KB,True,,,106753043,,INE721A01013,Shriram Finance Limited,2026-08-21 21:15:19,SHRIRAMFIN
14-Aug-2026 16:25:44,3.28 MB,https://nsearchives.nseindia.com/corporate/Mathew_14082026162446_BSENSEIntimationofESGRatingAugust1426.pdf,Shriram Finance Limited has informed the Exchange about ESG Rating by NSE Sustainability Ratings & Analytics Limited,,,General Updates,00:00:01,14082026162544,14-Aug-2026 16:25:45,3.28 MB,True,,,106744443,,INE721A01013,Shriram Finance Limited,2026-08-14 16:25:44,SHRIRAMFIN
13-Aug-2026 17:16:44,307.93 KB,https://nsearchives.nseindia.com/corporate/Mathew_13082026171336_NSEBSE_AnalystMeet_19082026.pdf,Shriram Finance Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,13082026171644,13-Aug-2026 17:16:45,307.93 KB,True,,,106742045,,INE721A01013,Shriram Finance Limited,2026-08-13 17:16:44,SHRIRAMFIN
13-Aug-2026 17:16:44,307.93 KB,https://nsearchives.nseindia.com/corporate/Mathew_13082026171628_NSEBSE_AnalystMeet_19082026.pdf,Shriram Finance Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,13082026171644,13-Aug-2026 17:16:45,307.93 KB,True,,,106742048,,INE721A01013,Shriram Finance Limited,2026-08-13 17:16:44,SHRIRAMFIN
13-Aug-2026 17:16:44,307.93 KB,https://nsearchives.nseindia.com/corporate/Mathew_13082026171534_NSEBSE_AnalystMeet_19082026.pdf,Shriram Finance Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,13082026171644,13-Aug-2026 17:16:45,307.93 KB,True,,,106742047,,INE721A01013,Shriram Finance Limited,2026-08-13 17:16:44,SHRIRAMFIN
13-Aug-2026 17:16:44,307.93 KB,https://nsearchives.nseindia.com/corporate/Mathew_13082026171428_NSEBSE_AnalystMeet_19082026.pdf,Shriram Finance Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,13082026171644,13-Aug-2026 17:16:45,307.93 KB,True,,,106742046,,INE721A01013,Shriram Finance Limited,2026-08-13 17:16:44,SHRIRAMFIN
13-Aug-2026 12:04:18,297.65 KB,https://nsearchives.nseindia.com/corporate/Mathew_13082026120236_BSENSE_AnalystMeet_13082026.pdf,Shriram Finance Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,13082026120418,13-Aug-2026 12:04:19,297.65 KB,True,,,106741028,,INE721A01013,Shriram Finance Limited,2026-08-13 12:04:18,SHRIRAMFIN
