an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
26-Aug-2026 15:38:08,334.44 KB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_26082026153743_SEInt.pdf,Tata Consultancy Services Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,26082026153808,26-Aug-2026 15:38:09,334.44 KB,True,,,106757366,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-08-26 15:38:08,TCS
24-Aug-2026 16:58:28,227.76 KB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_24082026165820_SE_Disclosure_award.pdf,Tata Consultancy Services Limited has informed the Exchange about Bagging/Receiving of orders/contracts,,,Bagging/Receiving of orders/contracts,00:00:02,24082026165828,24-Aug-2026 16:58:30,227.76 KB,True,,,106754356,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-08-24 16:58:28,TCS
24-Aug-2026 16:57:29,526.60 KB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_24082026165707_SE_Disclosure_240828_acq.pdf,"Tata Consultancy Services Limited has informed the Exchange regarding a press release dated August 24, 2026, titled ""TCS and Porsche AG Partner to Accelerate the Future of AI-Powered Mobility"".",,,Press Release,00:00:01,24082026165729,24-Aug-2026 16:57:30,526.60 KB,True,,,106754353,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-08-24 16:57:29,TCS
24-Aug-2026 16:55:49,526.60 KB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_24082026165522_SE_Disclosure_240828_acq.pdf,Tata Consultancy Services Limited has informed the Exchange about Acquisition,,,Acquisition,00:00:01,24082026165549,24-Aug-2026 16:55:50,526.60 KB,True,,,106754350,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-08-24 16:55:49,TCS
17-Aug-2026 11:30:08,621.99 KB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_17082026112153_PR_17Aug26_signed.pdf,Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS launches Agentic AI platform to transform drug development'.,,,Updates,00:00:01,17082026113008,17-Aug-2026 11:30:09,621.99 KB,True,,,106746570,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-08-17 11:30:08,TCS
14-Aug-2026 20:05:32,10.54 MB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_14082026200446_SigendStock_exchange_intimation_letter.pdf,"Tata Consultancy Services Limited has informed the Exchange regarding 'Pursuant to Regulation 30 read with Schedule III Part A Para A of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we enclose the communication sent to the identified shareholders pursuant to SEBI Master Circular no. HO/38/13/(4)2026-MIRSD-POD/l/4298/2026 dated February 6, 2026.'.",,,Updates,00:00:00,14082026200532,14-Aug-2026 20:05:32,10.54 MB,True,,,106745500,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-08-14 20:05:32,TCS
13-Aug-2026 11:30:10,599.88 KB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_13082026112214_PR_13Aug26_signed.pdf,Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS and Vodafone join forces to drive AI-led digital transformation for UK enterprises'.,,,Updates,00:00:01,13082026113010,13-Aug-2026 11:30:11,599.88 KB,True,,,106740953,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-08-13 11:30:10,TCS
12-Aug-2026 15:25:59,227.17 KB,https://nsearchives.nseindia.com/corporate/swarnikas_12082026152353_TCS_12082026__2_.pdf,The Exchange has sought clarification from Tata Consultancy Services Limited with respect to recent news item captioned N Chandrasekaran may step down as Tata Sons chairman ahead of AGM.  The response from the Company is attached.,,,News Verification,00:00:01,12082026152559,12-Aug-2026 15:26:00,227.17 KB,True,,,106738946,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-08-12 15:25:59,TCS
12-Aug-2026 11:42:06,0 Bytes,-,The Exchange has sought clarification from Tata Consultancy Services Limited with respect to recent news item captioned N Chandrasekaran may step down as Tata Sons chairman ahead of AGM.  The response from the Company is awaited.,,,News Verification,00:00:00,12082026114206,12-Aug-2026 11:42:06,0 Bytes,True,,,106738477,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-08-12 11:42:06,TCS
11-Aug-2026 19:11:21,984.63 KB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_11082026190926_Signed_SEIntimation.pdf,Tata Consultancy Services Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:01,11082026191121,11-Aug-2026 19:11:22,984.63 KB,True,,,106737586,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-08-11 19:11:21,TCS
11-Aug-2026 11:36:09,527.57 KB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_11082026113551_PR11Aug26.pdf,Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS and Google Cloud launch Gemini Experience Center in Mexico to help drive AI adoption'.,,,Updates,00:00:01,11082026113609,11-Aug-2026 11:36:10,527.57 KB,True,,,106736162,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-08-11 11:36:09,TCS
10-Aug-2026 16:06:41,198.79 KB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_10082026160412_TCS__3_.pdf,Tata Consultancy Services Limited has informed the Exchange about General Updates,,,General Updates,00:00:01,10082026160641,10-Aug-2026 16:06:42,198.79 KB,True,,,106734573,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-08-10 16:06:41,TCS
04-Aug-2026 18:47:18,342.30 KB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_04082026184608_SEIntimation.pdf,Tata Consultancy Services Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,04082026184718,04-Aug-2026 18:47:19,342.30 KB,True,,,106724791,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-08-04 18:47:18,TCS
03-Aug-2026 17:46:43,374.83 KB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_03082026174625_SE_letter_signed.pdf,Tata Consultancy Services Limited has informed the Exchange about Copy of Newspaper Publication,,,Copy of Newspaper Publication,00:00:02,03082026174643,03-Aug-2026 17:46:45,374.83 KB,True,,,106722348,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-08-03 17:46:43,TCS
27-Jul-2026 15:05:32,363.12 KB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_27072026150450_SEIntimation.pdf,Tata Consultancy Services Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,27072026150532,27-Jul-2026 15:05:33,363.12 KB,True,,,106711829,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-07-27 15:05:32,TCS
22-Jul-2026 16:33:09,565.39 KB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_22072026163254_PR_22July26_signed.pdf,Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS study reveals Physical AI is now mainstream as manufacturers scale AI implementation'.,,,Updates,00:00:01,22072026163309,22-Jul-2026 16:33:10,565.39 KB,True,,,106706625,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-07-22 16:33:09,TCS
16-Jul-2026 11:30:08,552.20 KB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_16072026112154_PR_16July26_signed.pdf,Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS and Google Cloud launch Gemini Experience Center in Kolkata'.,,,Updates,00:00:01,16072026113008,16-Jul-2026 11:30:09,552.20 KB,True,,,106699790,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-07-16 11:30:08,TCS
15-Jul-2026 19:37:13,695.59 KB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_15072026193646_SEInt15072026_Signed.pdf,Tata Consultancy Services Limited has informed the Exchange about Transcript,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,15072026193713,15-Jul-2026 19:37:14,695.59 KB,True,,,106699212,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-07-15 19:37:13,TCS
15-Jul-2026 11:30:12,615.50 KB,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_15072026112317_PR_15July26_signed.pdf,Tata Consultancy Services Limited has informed the Exchange regarding 'Press Release - TCS Launches Industrial AI Solutions Lab in Bengaluru Powered by NVIDIA'.,,,Updates,00:00:00,15072026113012,15-Jul-2026 11:30:12,615.50 KB,True,,,106698208,Computers - Software,INE467B01029,Tata Consultancy Services Limited,2026-07-15 11:30:12,TCS
