an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
27-Aug-2026 10:15:08,355.81 KB,https://nsearchives.nseindia.com/corporate/Apekshakhemka_27082026101445_IntimationforInvestorConference_S.pdf,Tech Mahindra Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,27082026101508,27-Aug-2026 10:15:09,355.81 KB,True,,,106758422,Computers - Software,INE669C01028,Tech Mahindra Limited,2026-08-27 10:15:08,TECHM
26-Aug-2026 11:30:56,3.33 MB,https://nsearchives.nseindia.com/corporate/Apekshakhemka_26082026113034_IntimationforInvestorConference_S.pdf,Tech Mahindra Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,26082026113056,26-Aug-2026 11:30:57,3.33 MB,True,,,106756953,Computers - Software,INE669C01028,Tech Mahindra Limited,2026-08-26 11:30:56,TECHM
17-Aug-2026 20:59:19,3.08 MB,https://nsearchives.nseindia.com/corporate/Apekshakhemka_17082026205854_Signed_17-08-2026-ESOP_allotment_Intimation.pdf,"Tech Mahindra Limited has informed the Exchange regarding allotment of 48950 securities pursuant to ESOP/ESPS at its meeting held on August 17, 2026",,,Allotment of Securities,00:00:01,17082026205919,17-Aug-2026 20:59:20,3.08 MB,True,,,106747502,Computers - Software,INE669C01028,Tech Mahindra Limited,2026-08-17 20:59:19,TECHM
08-Aug-2026 14:47:01,3.00 MB,https://nsearchives.nseindia.com/corporate/Apekshakhemka_08082026144649_Signed_SE_intimation_ESG_Rating_-_SES.pdf,Tech Mahindra Limited has informed the Exchange about General Updates,,,General Updates,00:00:00,08082026144701,08-Aug-2026 14:47:01,3.00 MB,True,,,106733042,Computers - Software,INE669C01028,Tech Mahindra Limited,2026-08-08 14:47:01,TECHM
06-Aug-2026 22:14:57,3.30 MB,https://nsearchives.nseindia.com/corporate/Apekshakhemka_06082026221433_Signed_Intimationforinvetsorsconference.pdf,Tech Mahindra Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,06082026221457,06-Aug-2026 22:14:58,3.30 MB,True,,,106729954,Computers - Software,INE669C01028,Tech Mahindra Limited,2026-08-06 22:14:57,TECHM
06-Aug-2026 22:13:31,3.30 MB,https://nsearchives.nseindia.com/corporate/Apekshakhemka_06082026221318_Signed_Intimationforinvetsorsconference.pdf,Tech Mahindra Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,06082026221331,06-Aug-2026 22:13:32,3.30 MB,True,,,106729953,Computers - Software,INE669C01028,Tech Mahindra Limited,2026-08-06 22:13:31,TECHM
28-Jul-2026 13:30:41,3.03 MB,https://nsearchives.nseindia.com/corporate/Apekshakhemka_28072026133026_Signed_SEintimationESG_rating.pdf,"Disclosure under Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( SEBI Listing Regulations )   ESG Rating",,,General Updates,00:00:01,28072026133041,28-Jul-2026 13:30:42,3.03 MB,True,,,106713425,Computers - Software,INE669C01028,Tech Mahindra Limited,2026-07-28 13:30:41,TECHM
24-Jul-2026 18:06:16,3.05 MB,https://nsearchives.nseindia.com/corporate/Apekshakhemka_24072026180551_SE_Intimationinvestorconference_S.pdf,Tech Mahindra Limited has informed the Exchange about Schedule of meet,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:00,24072026180616,24-Jul-2026 18:06:16,3.05 MB,True,,,106710136,Computers - Software,INE669C01028,Tech Mahindra Limited,2026-07-24 18:06:16,TECHM
22-Jul-2026 12:10:54,3.39 MB,https://nsearchives.nseindia.com/corporate/Apekshakhemka_22072026121038_Signed_SEintimationtranscript.pdf,Tech Mahindra Limited has informed the Exchange about Transcript,,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,22072026121054,22-Jul-2026 12:10:55,3.39 MB,True,,,106706236,Computers - Software,INE669C01028,Tech Mahindra Limited,2026-07-22 12:10:54,TECHM
21-Jul-2026 20:56:40,3.05 MB,https://nsearchives.nseindia.com/corporate/Apekshakhemka_21072026205630_Signed_-_SE_intimation_ESG_rating_crisil.pdf,Tech Mahindra Limited has informed the Exchange about General Updates,,,General Updates,00:00:01,21072026205640,21-Jul-2026 20:56:41,3.05 MB,True,,,106705690,Computers - Software,INE669C01028,Tech Mahindra Limited,2026-07-21 20:56:40,TECHM
