an_dt,attFileSize,attchmntFile,attchmntText,bflag,csvName,desc,difference,dt,exchdisstime,fileSize,hasXbrl,old_new,orgid,seq_id,smIndustry,sm_isin,sm_name,sort_date,symbol
27-Aug-2026 15:36:38,365.51 KB,https://nsearchives.nseindia.com/corporate/Wipro_Secretarial_27082026153606_PressRelease27082026.pdf,"Wipro Limited has informed the Exchange regarding a press release dated August 27, 2026, titled ""Wipro and Google Cloud Expand Partnership to Scale AI into Core Enterprise Operations"".",,,Press Release,00:00:01,27082026153638,27-Aug-2026 15:36:39,365.51 KB,True,,,106758887,Computers - Software,INE075A01022,Wipro Limited,2026-08-27 15:36:38,WIPRO
27-Aug-2026 15:04:52,268.36 KB,https://nsearchives.nseindia.com/corporate/Wipro_Secretarial_27082026150429_SE.pdf,"Wipro Limited has informed the Exchange regarding Allotment of 1,09,581 equity shares under the Restricted Stock Unit Plan 2007 and 24,240 equity shares under Employee Stock Options, Performance Stock Unit and Restricted Stock Unit Scheme 2024 on August 27, 2026, pursuant to exercise of ESOPs.",,,Updates,00:00:01,27082026150452,27-Aug-2026 15:04:53,268.36 KB,True,,,106758836,Computers - Software,INE075A01022,Wipro Limited,2026-08-27 15:04:52,WIPRO
24-Aug-2026 15:38:47,256.04 KB,https://nsearchives.nseindia.com/corporate/Cslogin_24082026153811_SEIntimation24082026.pdf,Wipro Limited has informed the Exchange regarding 'Grant of Restricted Stock Units'.,,,Updates,00:00:01,24082026153847,24-Aug-2026 15:38:48,256.04 KB,True,,,106754221,Computers - Software,INE075A01022,Wipro Limited,2026-08-24 15:38:47,WIPRO
14-Aug-2026 15:47:29,260.13 KB,https://nsearchives.nseindia.com/corporate/Cslogin_14082026154656_SE.pdf,"Wipro Limited has informed the Exchange regarding Allotment of 57,552 equity shares under the Restricted Stock Unit Plan 2007 and 84,163 (including ADSs and RSUs) equity shares under Employee Stock Options, Performance Stock Unit and Restricted Stock Unit Scheme 2024 on August 14, 2026, pursuant to exercise of ESOPs.",,,Updates,00:00:02,14082026154729,14-Aug-2026 15:47:31,260.13 KB,True,,,106744306,Computers - Software,INE075A01022,Wipro Limited,2026-08-14 15:47:29,WIPRO
12-Aug-2026 17:22:59,225.49 KB,https://nsearchives.nseindia.com/corporate/Cslogin_12082026172215_SEIntimation12082026.pdf,Wipro Limited has informed the Exchange regarding 'Grant of Restricted Stock Units'.,,,Updates,00:00:01,12082026172259,12-Aug-2026 17:23:00,225.49 KB,True,,,106739403,Computers - Software,INE075A01022,Wipro Limited,2026-08-12 17:22:59,WIPRO
07-Aug-2026 15:58:47,230.08 KB,https://nsearchives.nseindia.com/corporate/Wipro_Secretarial_07082026155748_Reg30SEIntimation07082026.pdf,"Wipro Limited has informed the Exchange about Intimation under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",,,General Updates,00:00:01,07082026155847,07-Aug-2026 15:58:48,230.08 KB,True,,,106731243,Computers - Software,INE075A01022,Wipro Limited,2026-08-07 15:58:47,WIPRO
05-Aug-2026 17:38:00,260.21 KB,https://nsearchives.nseindia.com/corporate/Wipro_Secretarial_05082026173725_SE.pdf,"Wipro Limited has informed the Exchange regarding Allotment of 40,504 equity shares under ADS Restricted Stock Unit Plan 2004, 78,396 equity shares under the Restricted Stock Unit Plan 2007 and 19,911 (including ADSs and RSUs) equity shares under Employee Stock Options, Performance Stock Unit and Restricted Stock Unit Scheme 2024 on August 5, 2026, pursuant to exercise of ESOPs.",,,Updates,00:00:02,05082026173800,05-Aug-2026 17:38:02,260.21 KB,True,,,106726845,Computers - Software,INE075A01022,Wipro Limited,2026-08-05 17:38:00,WIPRO
05-Aug-2026 15:35:07,246.52 KB,https://nsearchives.nseindia.com/corporate/Wipro_Secretarial_05082026153428_PressRelease05082026.pdf,"Wipro Limited has informed the Exchange regarding a press release dated August 05, 2026, titled ""Wipro and Rubrik Launch Enterprise Resilience as a Service to Deliver Continuous Cyber Resilience"".",,,Press Release,00:00:01,05082026153507,05-Aug-2026 15:35:08,246.52 KB,True,,,106726358,Computers - Software,INE075A01022,Wipro Limited,2026-08-05 15:35:07,WIPRO
04-Aug-2026 17:54:27,225.21 KB,https://nsearchives.nseindia.com/corporate/Wipro_Secretarial_04082026175331_SEIntimation04082026.pdf,"Wipro Limited has informed the Exchange about Intimation of Schedule of Analyst / Institutional Investor Meetings under the SEBI (Listing Obligations and Disclosure Requirements), Regulations, 2015",,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,04082026175427,04-Aug-2026 17:54:28,225.21 KB,True,,,106724559,Computers - Software,INE075A01022,Wipro Limited,2026-08-04 17:54:27,WIPRO
29-Jul-2026 18:15:32,227.65 KB,https://nsearchives.nseindia.com/corporate/Cslogin_29072026181507_SEIntimation29072026.pdf,Wipro Limited has informed the Exchange regarding 'Grant of Restricted Stock Units'.,,,Updates,00:00:00,29072026181532,29-Jul-2026 18:15:32,227.65 KB,True,,,106715760,Computers - Software,INE075A01022,Wipro Limited,2026-07-29 18:15:32,WIPRO
29-Jul-2026 17:08:21,260.20 KB,https://nsearchives.nseindia.com/corporate/Cslogin_29072026170752_SE.pdf,"Wipro Limited has informed the Exchange regarding Allotment of 20,176 equity shares under ADS Restricted Stock Unit Plan 2004, 72,857 equity shares under the Restricted Stock Unit Plan 2007 and     25,250 (including ADSs and RSUs) equity shares under Employee Stock Options, Performance Stock Unit and Restricted Stock Unit Scheme 2024 on July 29, 2026, pursuant to exercise of ESOPs.",,,Updates,00:00:01,29072026170821,29-Jul-2026 17:08:22,260.20 KB,True,,,106715541,Computers - Software,INE075A01022,Wipro Limited,2026-07-29 17:08:21,WIPRO
27-Jul-2026 15:45:04,271.78 KB,https://nsearchives.nseindia.com/corporate/Cslogin_27072026154444_PressRelease27072026.pdf,"Wipro Limited has informed the Exchange regarding a press release dated July 27, 2026, titled ""Wipro partners with Databricks to Enable Enterprises to Modernize Data and Deploy AI at Scale"".",,,Press Release,00:00:01,27072026154504,27-Jul-2026 15:45:05,271.78 KB,True,,,106711883,Computers - Software,INE075A01022,Wipro Limited,2026-07-27 15:45:04,WIPRO
22-Jul-2026 19:11:57,230.99 KB,https://nsearchives.nseindia.com/corporate/Wipro_Secretarial_22072026191054_Reg30SEIntimation22072026.pdf,"Wipro Limited has informed the Exchange about Intimation under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",,,General Updates,00:00:01,22072026191157,22-Jul-2026 19:11:58,230.99 KB,True,,,106707035,Computers - Software,INE075A01022,Wipro Limited,2026-07-22 19:11:57,WIPRO
21-Jul-2026 19:23:03,229.95 KB,https://nsearchives.nseindia.com/corporate/Cslogin_21072026191548_Reg30SEIntimation21072026.pdf,"Wipro Limited has informed the Exchange about Intimation under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",,,General Updates,00:00:01,21072026192303,21-Jul-2026 19:23:04,229.95 KB,True,,,106705563,Computers - Software,INE075A01022,Wipro Limited,2026-07-21 19:23:03,WIPRO
18-Jul-2026 12:08:01,7.45 MB,https://nsearchives.nseindia.com/corporate/Cslogin_18072026120545_SEIntimationnewspaperad.pdf,"Wipro Limited has informed the Exchange about Newspaper Advertisement - Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",,,Copy of Newspaper Publication,00:00:01,18072026120801,18-Jul-2026 12:08:02,7.45 MB,True,,,106702429,Computers - Software,INE075A01022,Wipro Limited,2026-07-18 12:08:01,WIPRO
17-Jul-2026 16:30:50,439.04 KB,https://nsearchives.nseindia.com/corporate/Cslogin_17072026162727_SEIntimation17072026.pdf,"Wipro Limited has informed the Exchange about Transcript of the Analyst / Institutional Investor Meeting held on July 16, 2026.",,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:00,17072026163050,17-Jul-2026 16:30:50,439.04 KB,True,,,106701598,Computers - Software,INE075A01022,Wipro Limited,2026-07-17 16:30:50,WIPRO
17-Jul-2026 16:12:41,7.05 MB,https://nsearchives.nseindia.com/corporate/Cslogin_17072026161225_Reg47NewspaperAd.pdf,"Wipro Limited has informed the Exchange about Newspaper Advertisement - Regulation 47 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015",,,Copy of Newspaper Publication,00:00:00,17072026161241,17-Jul-2026 16:12:41,7.05 MB,True,,,106701555,Computers - Software,INE075A01022,Wipro Limited,2026-07-17 16:12:41,WIPRO
16-Jul-2026 20:59:03,225.27 KB,https://nsearchives.nseindia.com/corporate/Wipro_Secretarial_16072026205822_SEIntimatioAudioVideolink.pdf,"Wipro Limited has informed the Exchange  that the audio and video recording of the earnings press conference held on July 16, 2026 is available on the Company s website at https://www.wipro.com/newsroom/press-releases/2026/wipro-press-conference-q1-fy-2026-2027/",,,Analysts/Institutional Investor Meet/Con. Call Updates,00:00:01,16072026205903,16-Jul-2026 20:59:04,225.27 KB,True,,,106700695,Computers - Software,INE075A01022,Wipro Limited,2026-07-16 20:59:03,WIPRO
16-Jul-2026 20:27:05,2.85 MB,https://nsearchives.nseindia.com/corporate/Wipro_Secretarial_16072026202648_UDINFinancials.pdf,"Wipro Limited has informed the Exchange regarding 'Auditor's Report on financial statements for the quarter ended June 30, 2026 withUDIN'.",,,Updates,00:00:01,16072026202705,16-Jul-2026 20:27:06,2.85 MB,True,,,106700663,Computers - Software,INE075A01022,Wipro Limited,2026-07-16 20:27:05,WIPRO
16-Jul-2026 17:19:37,1.20 MB,https://nsearchives.nseindia.com/corporate/Cslogin_16072026171922_SEIntimationScrutinizerReport160072026.pdf,"Wipro Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on July 15, 2026",,,Shareholders meeting,00:00:00,16072026171937,16-Jul-2026 17:19:37,1.20 MB,True,,,106700314,Computers - Software,INE075A01022,Wipro Limited,2026-07-16 17:19:37,WIPRO
16-Jul-2026 15:58:02,236.12 KB,https://nsearchives.nseindia.com/corporate/Cslogin_16072026155723_OutcomeofBM.pdf,Wipro Limited has informed the Exchange that Record date for the purpose of Dividend  is 27-Jul-2026.,,,Record Date,00:00:01,16072026155802,16-Jul-2026 15:58:03,236.12 KB,True,,,106700170,Computers - Software,INE075A01022,Wipro Limited,2026-07-16 15:58:02,WIPRO
